,Region,655,661,668,675,682,689
0,Belgium,,70149,87680,102749,110291,106935
1,Bulgaria,,34124,37236,39893,41679,42214
2,Czechia,,77478,108819,136805,148410,136353
3,Denmark,,19943,27064,35683,44826,52664
4,Germany,,208439,248705,284581,310573,322047
5,Estonia,,15129,18345,20675,20807,18349
6,Ireland,,17653,18350,18460,17950,16875
7,Greece,,33645,39250,44549,48607,50582
8,Spain,,13763,14262,15227,16920,19586
9,France,,49537,50030,49362,47566,44748
10,Croatia,,37469,44328,48589,48789,44710
11,Italy,,38685,42451,45477,47538,48492
12,Cyprus,,1032,1008,968,913,847
13,Latvia,,12133,10214,8133,6146,4426
14,Lithuania,,18126,16427,14174,11696,9278
15,Luxembourg,,1256,1341,1403,1433,1424
16,Hungary,,41081,56248,71029,81009,82186
17,Malta,,73,48,29,15,7
18,Netherlands,,84365,104576,121738,131485,130855
19,Austria,,61842,72927,78481,76502,67587
20,Poland,,110223,166661,246256,347348,454395
21,Portugal,,6164,7105,8457,10374,13051
22,Romania,,52132,41189,31476,23291,16704
23,Slovenia,,26407,34916,42423,44416,38533
24,Slovakia,,44440,56949,68646,76080,76309
25,Finland,,5938,7255,8914,10882,13082
26,Sweden,,5272,4680,3888,3017,2182
27,United Kingdom,,189441,125849,74741,40268,19821
28,Iceland,,854,918,925,873,771
29,Liechtenstein,,48,60,77,99,124
30,Norway,,12330,16696,22240,28789,35714
31,Switzerland,,17670,21203,24911,28494,31569
