,Region,431,437,444,451,458,465
0,Belgium,,24442,24544,24572,24472,24322
1,Bulgaria,,22304,21713,21019,20192,19243
2,Czechia,,52085,44041,36943,30786,25515
3,Denmark,,4081,3825,3712,3558,3420
4,Germany,,136624,165371,200491,241304,289383
5,Estonia,,8424,7447,6511,5635,4835
6,Ireland,,4106,4255,4393,4525,4647
7,Greece,,17685,17850,17941,17953,17884
8,Spain,,36230,36896,37522,38067,38524
9,France,,204179,197006,188461,178841,168404
10,Croatia,,9624,11500,13641,16020,18587
11,Italy,,150786,140955,130718,120471,110409
12,Cyprus,,2550,2523,2509,2483,2449
13,Latvia,,3777,3773,3751,3709,3650
14,Lithuania,,5109,5742,6415,7118,7837
15,Luxembourg,,1502,1523,1562,1584,1608
16,Hungary,,70058,71327,70840,68829,65490
17,Malta,,790,552,384,266,184
18,Netherlands,,56898,63076,69134,74826,79883
19,Austria,,23515,24530,25380,26035,26475
20,Poland,,202153,222774,241178,256130,266477
21,Portugal,,2896,2655,2429,2223,2033
22,Romania,,40967,42014,42842,43419,43729
23,Slovenia,,7052,7554,8023,8439,8789
24,Slovakia,,8635,7398,6233,5256,4452
25,Finland,,4604,4445,4281,4116,3949
26,Sweden,,35904,36805,38673,39502,40646
27,United Kingdom,,37804,37105,36353,35558,34727
28,Iceland,,35,39,44,50,55
29,Liechtenstein,,25,27,29,33,35
30,Norway,,6784,7040,7418,7751,8100
31,Switzerland,,11133,12192,13040,13848,14819
