,Region,487,493,500,507,514,521
0,Belgium,,14338,12157,10246,8610,7218
1,Bulgaria,,2004,1479,1002,724,514
2,Czechia,,4680,3546,2613,1944,1450
3,Denmark,,6861,6661,6376,6110,5843
4,Germany,,49929,40006,31986,25547,20389
5,Estonia,,1478,1246,1049,883,740
6,Ireland,,105,14,2,1,0
7,Greece,,12337,10899,9605,8447,7411
8,Spain,,24565,18914,14564,11207,8619
9,France,,48858,33230,22560,15304,10377
10,Croatia,,3254,2328,1598,1117,780
11,Italy,,30696,23833,18089,13911,10652
12,Cyprus,,716,449,281,176,111
13,Latvia,,2936,2408,1969,1605,1307
14,Lithuania,,5589,4729,3981,3340,2792
15,Luxembourg,,494,388,303,238,186
16,Hungary,,3725,2733,1946,1402,1005
17,Malta,,13,6,3,2,1
18,Netherlands,,25928,20562,16281,12872,10164
19,Austria,,3869,2973,2282,1749,1340
20,Poland,,11292,7866,5472,3805,2645
21,Portugal,,3072,3235,3505,3717,3950
22,Romania,,3341,2407,1719,1238,886
23,Slovenia,,2448,2059,1729,1448,1212
24,Slovakia,,1196,899,676,507,382
25,Finland,,1535,1591,1648,1705,1764
26,Sweden,,17094,12033,8463,5943,4166
27,United Kingdom,,14785,14174,13351,12631,11934
28,Iceland,,15,12,8,6,5
29,Liechtenstein,,11,8,6,5,3
30,Norway,,2772,2741,2691,2644,2595
31,Switzerland,,6445,5442,4576,3849,3235
