,Region,452,458,465,472,479,486
0,Belgium,,24099,22906,21368,19995,18621
1,Bulgaria,,12403,9713,7525,5838,4522
2,Czechia,,20533,17015,13604,11005,8857
3,Denmark,,4572,4552,4484,4430,4364
4,Germany,,156305,167228,178017,188387,198067
5,Estonia,,3070,2411,1889,1475,1150
6,Ireland,,2499,2173,1941,1732,1525
7,Greece,,19168,18131,17079,16020,14967
8,Spain,,60968,66007,72128,78203,84733
9,France,,244758,238888,225826,214330,201739
10,Croatia,,17728,20510,23424,26510,29655
11,Italy,,95400,87499,78729,71211,64115
12,Cyprus,,4577,5033,5497,5951,6392
13,Latvia,,4236,4562,4884,5190,5473
14,Lithuania,,8049,8706,9331,9903,10397
15,Luxembourg,,1220,1127,1043,958,882
16,Hungary,,31943,27017,23226,20021,17045
17,Malta,,344,329,311,295,278
18,Netherlands,,53365,53101,54799,53880,54405
19,Austria,,16556,15367,14213,13099,12035
20,Poland,,130015,123434,115941,107942,99671
21,Portugal,,4108,4405,4724,5055,5411
22,Romania,,22776,18972,15759,13081,10844
23,Slovenia,,5954,5586,5170,4789,4418
24,Slovakia,,4920,4411,3901,3463,3068
25,Finland,,1914,1632,1388,1179,1002
26,Sweden,,41381,45678,43893,45635,47920
27,United Kingdom,,17339,17463,17569,17655,17729
28,Iceland,,19,12,8,6,3
29,Liechtenstein,,83,101,123,150,181
30,Norway,,3555,2909,2379,1944,1587
31,Switzerland,,13314,12580,11859,11141,10425
