,Region,669,675,682,689,696,703
0,Belgium,,111043,120265,119829,109936,93660
1,Bulgaria,,14891,12037,9641,7667,6060
2,Czechia,,134538,182809,226304,228287,175919
3,Denmark,,32515,37691,41043,41706,39490
4,Germany,,376730,393171,374098,324040,256028
5,Estonia,,3986,3045,2340,1814,1421
6,Ireland,,28138,22779,15969,9774,5262
7,Greece,,53322,55983,56604,57252,52906
8,Spain,,41711,53184,66472,80565,93323
9,France,,152022,190233,224603,247408,252089
10,Croatia,,30088,26451,21836,16964,12442
11,Italy,,70809,76198,77556,74519,67544
12,Cyprus,,1987,2081,2101,2043,1912
13,Latvia,,4437,3042,2039,1341,868
14,Lithuania,,9902,7307,5180,3554,2373
15,Luxembourg,,2181,5857,23999,80931,75500
16,Hungary,,69450,73427,69493,58557,44187
17,Malta,,369,256,130,45,7
18,Netherlands,,174104,204623,219934,213754,188731
19,Austria,,89241,70708,45925,24691,11035
20,Poland,,189903,268390,362178,427987,410804
21,Portugal,,18221,24974,34442,47243,63469
22,Romania,,14919,9580,6085,3835,2402
23,Slovenia,,23254,22345,20067,16891,13413
24,Slovakia,,70631,68180,59824,48208,36224
25,Finland,,4475,4659,4967,5423,6048
26,Sweden,,5157,3813,2460,1371,651
27,United Kingdom,,177959,106455,50521,18983,5482
28,Iceland,,987,759,490,261,109
29,Liechtenstein,,474,726,967,1051,916
30,Norway,,24428,45897,80271,106928,100318
31,Switzerland,,39623,46782,51092,51241,47095
