,Region,445,451,458,465,472,479
0,Belgium,,24364,20652,16938,13477,10399
1,Bulgaria,,17097,13707,10814,8400,6428
2,Czechia,,24212,18845,14165,10643,7949
3,Denmark,,4528,4238,4022,3728,3439
4,Germany,,115212,113737,111944,106539,101376
5,Estonia,,3950,2931,2100,1468,1000
6,Ireland,,2869,2489,2121,1779,1468
7,Greece,,20534,19313,17598,15528,13272
8,Spain,,48943,49680,50338,49833,48284
9,France,,158393,115295,80925,54844,35913
10,Croatia,,13641,13711,13371,12641,11590
11,Italy,,99692,85236,70626,58023,47152
12,Cyprus,,3971,4316,4541,4631,4571
13,Latvia,,3185,3111,2973,2809,2648
14,Lithuania,,6755,6849,6601,6042,5255
15,Luxembourg,,1145,953,777,617,480
16,Hungary,,32357,23995,16798,11283,7204
17,Malta,,286,203,128,74,38
18,Netherlands,,48908,45568,41308,36461,31361
19,Austria,,18052,15675,13201,10792,8570
20,Poland,,133458,105644,80023,58131,40559
21,Portugal,,3744,3924,4001,3997,3906
22,Romania,,32049,28678,25239,21858,18639
23,Slovenia,,7194,7184,7105,6868,6602
24,Slovakia,,5269,4353,3500,2771,2202
25,Finland,,2330,1847,1416,1076,803
26,Sweden,,40086,39309,39450,37918,36186
27,United Kingdom,,14161,9727,6528,4277,2735
28,Iceland,,37,29,23,18,13
29,Liechtenstein,,62,80,101,124,146
30,Norway,,4387,3746,3125,2546,2029
31,Switzerland,,10137,8478,6969,5621,4451
