,Region,641,647,654,661,668,675
0,Belgium,,43471,65831,108414,196760,386503
1,Bulgaria,,32160,39422,47416,55736,63766
2,Czechia,,26408,45955,83384,153190,278588
3,Denmark,,8343,11006,14850,20476,28771
4,Germany,,112645,142776,182299,234649,304491
5,Estonia,,9588,11210,13263,15714,18448
6,Ireland,,15991,18586,21825,25887,30934
7,Greece,,23190,26675,30943,36164,42508
8,Spain,,14334,17103,22013,30789,46598
9,France,,34870,35667,36797,38242,39983
10,Croatia,,17687,22392,28162,35083,43151
11,Italy,,20968,22487,24611,27599,31810
12,Cyprus,,1031,1057,1082,1106,1128
13,Latvia,,19296,22562,25754,28592,30773
14,Lithuania,,19494,20704,21782,22687,23390
15,Luxembourg,,1004,1195,1467,1850,2414
16,Hungary,,14912,21908,32001,46185,65589
17,Malta,,70,52,38,28,21
18,Netherlands,,36908,46651,59453,76452,99254
19,Austria,,24158,32431,45191,64526,92845
20,Poland,,42634,67095,108633,177451,290727
21,Portugal,,5167,5547,6044,6685,7510
22,Romania,,106438,108340,108804,107685,104959
23,Slovenia,,12340,16442,22126,29936,40401
24,Slovakia,,20331,26030,33533,42767,54016
25,Finland,,3037,2694,2386,2111,1866
26,Sweden,,4267,4962,6178,8055,10799
27,United Kingdom,,371176,443778,552909,712623,936909
28,Iceland,,510,620,752,906,1086
29,Liechtenstein,,53,80,120,176,252
30,Norway,,3928,4376,4863,5387,5945
31,Switzerland,,8190,9213,10604,12518,15167
