,State,516,521,528,535,542,549
0,Washington,NaN,2640,2695,2725,2733,2740
1,Illinois,NaN,1127,799,760,828,764
2,California,NaN,5990,6622,6776,6710,6676
3,Arizona,NaN,2865,2711,2668,2696,2699
4,Massachusetts,NaN,408,343,343,343,344
5,Wisconsin,NaN,492,227,0,0,0
6,Texas,NaN,6634,19840,12342,21773,12431
7,Nebraska,NaN,177,148,148,149,149
8,Utah,NaN,2023,1820,1832,1841,1851
9,Oregon,NaN,1643,1473,1431,1525,1508
10,Florida,NaN,9496,8924,8763,8749,8797
11,New York,NaN,2252,1856,1861,1863,1866
12,Rhode Island,NaN,150,119,119,119,120
13,Georgia,NaN,2271,2003,1992,2001,2004
14,New Hampshire,NaN,183,149,105,90,74
15,North Carolina,NaN,2170,1156,1860,2019,2024
16,New Jersey,NaN,2285,1061,894,1119,903
17,Colorado,NaN,2565,2363,2380,2405,2421
18,Maryland,NaN,442,333,333,333,333
19,Nevada,NaN,1728,1891,3330,3156,4527
20,Tennessee,NaN,827,568,704,389,496
21,Hawaii,NaN,NaN,NaN,NaN,NaN,NaN
22,Indiana,NaN,1977,2436,2626,2818,2929
23,Kentucky,NaN,903,683,342,685,342
24,Minnesota,NaN,660,593,597,600,601
25,Oklahoma,NaN,1343,908,733,859,797
26,Pennsylvania,NaN,1638,624,574,571,572
27,South Carolina,NaN,562,314,1288,1324,1932
28,District of Columbia,NaN,NaN,NaN,NaN,NaN,NaN
29,Kansas,NaN,678,662,664,666,668
30,Missouri,NaN,4996,3289,4267,4154,4413
31,Vermont,NaN,31,19,8,20,15
32,Virginia,NaN,855,632,622,627,616
33,Connecticut,NaN,265,204,204,205,206
34,Iowa,NaN,504,351,345,345,346
35,Louisiana,NaN,1977,1238,946,1132,623
36,Ohio,NaN,1748,1538,1553,1555,1558
37,Michigan,NaN,911,894,885,886,888
38,South Dakota,NaN,40,13,14,16,15
39,Arkansas,NaN,1636,1252,1685,1488,1304
40,Delaware,NaN,187,178,197,214,231
41,Mississippi,NaN,791,850,757,810,1099
42,New Mexico,NaN,700,745,635,800,768
43,North Dakota,NaN,102,92,92,93,93
44,Wyoming,NaN,333,412,355,384,403
45,Alaska,NaN,NaN,NaN,NaN,NaN,NaN
46,Maine,NaN,209,181,182,183,183
47,Alabama,NaN,1178,917,882,1138,1025
48,Idaho,NaN,412,942,711,529,1475
49,Montana,NaN,367,346,318,340,333
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,0,0,0,0,0
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN
