,State,698,703,710,717,724,731
0,Washington,NaN,10091,7678,9227,6509,7653
1,Illinois,NaN,65069,62297,55094,39697,28747
2,California,NaN,48801,47323,47343,47478,47872
3,Arizona,NaN,15107,14608,14739,15060,15291
4,Massachusetts,NaN,37015,37945,25621,16527,10057
5,Wisconsin,NaN,32198,19731,27260,10000,10479
6,Texas,NaN,35982,23928,15826,17007,16515
7,Nebraska,NaN,4574,1436,752,314,318
8,Utah,NaN,6326,6642,6661,6710,6777
9,Oregon,NaN,4869,2667,3247,1869,1534
10,Florida,NaN,0,0,0,0,0
11,New York,NaN,115312,143281,151430,158961,166748
12,Rhode Island,NaN,8094,7176,4386,2347,1169
13,Georgia,NaN,14928,15235,15319,15405,15529
14,New Hampshire,NaN,8463,5966,3957,2229,1234
15,North Carolina,NaN,23337,14425,7278,7178,4286
16,New Jersey,NaN,44133,57576,56645,61913,63915
17,Colorado,NaN,11156,9518,8733,9057,9113
18,Maryland,NaN,0,0,0,0,0
19,Nevada,NaN,4639,5244,4888,4908,4980
20,Tennessee,NaN,12409,11181,5482,3651,3184
21,Hawaii,NaN,NaN,NaN,NaN,NaN,NaN
22,Indiana,NaN,29755,35859,36631,37623,38642
23,Kentucky,NaN,14178,11540,8949,5315,2265
24,Minnesota,NaN,19734,11504,9539,5345,2469
25,Oklahoma,NaN,4701,4602,4618,4631,4668
26,Pennsylvania,NaN,52429,60487,62144,64337,66394
27,South Carolina,NaN,7019,5607,6039,6886,7083
28,District of Columbia,NaN,NaN,NaN,NaN,NaN,NaN
29,Kansas,NaN,11782,14313,14497,14815,15186
30,Missouri,NaN,19924,10865,7549,10072,9513
31,Vermont,NaN,2839,3083,3348,3640,3931
32,Virginia,NaN,20343,16391,14216,8122,4561
33,Connecticut,NaN,17279,11518,9771,4137,5154
34,Iowa,NaN,10260,0,0,0,0
35,Louisiana,NaN,5923,5281,5773,7411,7441
36,Ohio,NaN,70695,67863,64417,54206,60810
37,Michigan,NaN,44852,57520,58500,59963,61915
38,South Dakota,NaN,2175,2035,2044,2070,2102
39,Arkansas,NaN,4936,4559,3103,2429,2328
40,Delaware,NaN,5138,4044,3329,3208,3177
41,Mississippi,NaN,3213,2614,1804,1938,1683
42,New Mexico,NaN,6158,6593,4180,1855,2988
43,North Dakota,NaN,2031,2024,2047,2055,2090
44,Wyoming,NaN,608,598,652,515,619
45,Alaska,NaN,NaN,NaN,NaN,NaN,NaN
46,Maine,NaN,6180,5116,4635,2624,1155
47,Alabama,NaN,6410,3386,3402,3425,3451
48,Idaho,NaN,2052,1667,1665,1666,1683
49,Montana,NaN,890,927,704,719,809
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,7670,6709,6319,6170,5988
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN
