,State,572,577,584,591,598,605
0,Washington,NaN,20504,18311,19692,17046,17082
1,Illinois,NaN,24258,20377,20428,22078,21987
2,California,NaN,88619,99209,92478,102893,109994
3,Arizona,NaN,20646,22989,23541,24098,24671
4,Massachusetts,NaN,8992,6258,3077,2157,1877
5,Wisconsin,NaN,10545,9204,12003,9806,5637
6,Texas,NaN,99182,91986,91866,71736,59044
7,Nebraska,NaN,1000,1918,2000,946,2295
8,Utah,NaN,5852,4557,5513,3998,3400
9,Oregon,NaN,15138,11456,13528,12034,12779
10,Florida,NaN,0,0,0,0,0
11,New York,NaN,31951,31812,31228,30644,30033
12,Rhode Island,NaN,1924,1304,1352,1816,1465
13,Georgia,NaN,47087,46582,44747,35021,23641
14,New Hampshire,NaN,1381,766,456,151,144
15,North Carolina,NaN,46669,26875,39844,33603,26797
16,New Jersey,NaN,13545,15099,14725,14967,15113
17,Colorado,NaN,8557,7502,5671,6544,6359
18,Maryland,NaN,6879,8673,8995,9134,9342
19,Nevada,NaN,7750,9298,9329,9414,9549
20,Tennessee,NaN,31505,34910,32341,16332,20472
21,Hawaii,NaN,NaN,NaN,NaN,NaN,NaN
22,Indiana,NaN,19538,19827,19636,19204,19756
23,Kentucky,NaN,20199,23566,25494,15889,12003
24,Minnesota,NaN,8433,5443,5059,2235,2726
25,Oklahoma,NaN,15686,13408,10793,6666,2527
26,Pennsylvania,NaN,13734,4862,3726,3073,2688
27,South Carolina,NaN,25105,24746,20750,16113,15063
28,District of Columbia,NaN,NaN,NaN,NaN,NaN,NaN
29,Kansas,NaN,9437,10025,12616,11594,5771
30,Missouri,NaN,19013,20730,18818,13857,10813
31,Vermont,NaN,957,533,427,341,223
32,Virginia,NaN,15005,15406,18762,16299,18696
33,Connecticut,NaN,3764,1655,1176,1120,1115
34,Iowa,NaN,5758,6417,6400,6434,6525
35,Louisiana,NaN,46357,23288,41338,45307,12562
36,Ohio,NaN,20648,19012,16656,17395,15871
37,Michigan,NaN,11715,4358,2295,1847,1476
38,South Dakota,NaN,1720,450,128,80,122
39,Arkansas,NaN,14879,18420,18913,18749,18611
40,Delaware,NaN,1966,2398,2527,2609,2651
41,Mississippi,NaN,29556,34679,38092,36306,60856
42,New Mexico,NaN,5761,4493,3895,4163,4148
43,North Dakota,NaN,1157,940,906,749,711
44,Wyoming,NaN,2153,1460,786,1326,1313
45,Alaska,NaN,NaN,NaN,NaN,NaN,NaN
46,Maine,NaN,1483,946,514,287,294
47,Alabama,NaN,20261,13160,9031,7737,6993
48,Idaho,NaN,4156,4115,2070,1628,1000
49,Montana,NaN,2285,1329,1563,1161,611
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,3286,2691,2986,3196,3290
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN
