,Region,754,759,766,773,780
0,Belgium,,119401,27585,3326,91
1,Bulgaria,,31763,21740,14153,8602
2,Czechia,,158588,36525,4423,123
3,Denmark,,345939,88617,11870,360
4,Germany,,1218264,484538,107412,12628
5,Estonia,,26978,6154,732,21
6,Ireland,,18688,4383,544,16
7,Greece,,96243,25323,3341,103
8,Spain,,244408,70247,11207,403
9,France,,538329,112645,12439,329
10,Croatia,,22050,6038,813,25
11,Italy,,282284,70103,8562,259
12,Cyprus,,15279,3894,494,16
13,Latvia,,55465,13127,1614,46
14,Lithuania,,42741,9609,1123,32
15,Luxembourg,,3372,667,70,2
16,Hungary,,54523,30387,14921,6651
17,Malta,,523,211,79,29
18,Netherlands,,813054,221001,30553,1028
19,Austria,,158965,38565,4744,147
20,Poland,,133193,73662,39919,20809
21,Portugal,,71917,13439,1359,35
22,Romania,,122660,74738,42581,23200
23,Slovenia,,27133,5324,561,15
24,Slovakia,,132788,31473,3885,113
25,Finland,,40431,28298,14463,6589
26,Sweden,,79857,23301,3753,141
27,United Kingdom,,299396,68072,8033,238
28,Iceland,,10771,2720,371,10
29,Liechtenstein,,931,240,31,1
30,Norway,,115784,28454,3600,105
31,Switzerland,,147232,34481,4334,124
