,Region,411,416,423,430,437
0,Belgium,,17701,18016,18298,18635
1,Bulgaria,,18760,26355,35380,46256
2,Czechia,,95009,93546,83668,66897
3,Denmark,,3404,3008,2680,2358
4,Germany,,52579,50945,47749,44958
5,Estonia,,12553,15325,16701,15563
6,Ireland,,2651,1786,1197,778
7,Greece,,18615,24686,32210,40866
8,Spain,,37415,26650,18569,12743
9,France,,147868,147783,148163,142735
10,Croatia,,4520,5979,7940,10214
11,Italy,,172007,203238,231759,259478
12,Cyprus,,3615,5917,9318,13215
13,Latvia,,4143,3875,3639,3296
14,Lithuania,,3829,3628,3374,3072
15,Luxembourg,,1755,1776,1765,1689
16,Hungary,,49723,65281,82196,91930
17,Malta,,2807,3885,4855,5365
18,Netherlands,,30245,26900,23476,20282
19,Austria,,18541,21219,23858,26357
20,Poland,,113321,147539,186915,226922
21,Portugal,,5764,6405,7343,8222
22,Romania,,32378,39929,48172,57204
23,Slovenia,,5254,5164,4899,4572
24,Slovakia,,16571,17023,16823,16216
25,Finland,,5366,6321,7395,8557
26,Sweden,,39362,39736,38403,35722
27,United Kingdom,,30248,20356,13589,9209
28,Iceland,,3,3,2,1
29,Liechtenstein,,23,29,33,38
30,Norway,,5322,7832,11478,16349
31,Switzerland,,7895,7199,6494,5612
