,Region,719,724,731,738,745
0,Belgium,,75952,44727,19228,7225
1,Bulgaria,,57920,98841,105736,70047
2,Czechia,,35912,25455,16418,8623
3,Denmark,,138745,39831,5622,186
4,Germany,,348541,408919,421156,353324
5,Estonia,,15352,17505,11629,5071
6,Ireland,,184835,51723,7136,240
7,Greece,,144257,43396,9121,1629
8,Spain,,955384,717516,312093,95141
9,France,,2224479,799220,127514,6216
10,Croatia,,51074,36147,14707,3596
11,Italy,,1706201,1332676,546741,154907
12,Cyprus,,47653,16683,2689,99
13,Latvia,,15443,21325,18746,11594
14,Lithuania,,35120,43440,28543,11613
15,Luxembourg,,9039,8125,4740,2139
16,Hungary,,49302,84905,99265,67149
17,Malta,,3304,1242,417,135
18,Netherlands,,307099,224327,63671,9520
19,Austria,,124010,154324,79379,22393
20,Poland,,88791,100797,109342,110774
21,Portugal,,151268,142243,88688,44503
22,Romania,,149093,552094,579988,269654
23,Slovenia,,38526,12783,1951,71
24,Slovakia,,16857,8622,3544,1119
25,Finland,,65738,82497,71741,46346
26,Sweden,,88790,117266,102575,69793
27,United Kingdom,,957119,443707,140381,34894
28,Iceland,,10649,5098,1094,60
29,Liechtenstein,,612,260,55,3
30,Norway,,44462,44667,36344,24158
31,Switzerland,,157711,94007,28925,5475
