,Region,740,745,752,759,766
0,Belgium,,235760,61114,8040,224
1,Bulgaria,,71728,65338,48040,27975
2,Czechia,,310087,84770,11523,358
3,Denmark,,335265,88377,12050,375
4,Germany,,1521824,1076442,442975,126707
5,Estonia,,46675,12958,1805,58
6,Ireland,,10658,1915,191,5
7,Greece,,125717,44981,7803,417
8,Spain,,747048,257074,43283,1803
9,France,,1653552,386480,46478,1343
10,Croatia,,47040,12544,1596,47
11,Italy,,688764,247926,56294,8274
12,Cyprus,,11601,3364,527,20
13,Latvia,,68353,20757,3001,97
14,Lithuania,,78415,29171,4815,293
15,Luxembourg,,13770,3424,448,13
16,Hungary,,146813,118722,53436,18424
17,Malta,,1095,600,309,159
18,Netherlands,,416553,114568,15598,509
19,Austria,,235892,64097,8779,288
20,Poland,,372565,318063,221926,131289
21,Portugal,,336511,83496,10658,323
22,Romania,,270291,330805,266219,144058
23,Slovenia,,90629,22714,2920,88
24,Slovakia,,148822,42540,6183,203
25,Finland,,14799,6163,2403,953
26,Sweden,,286973,98047,17613,631
27,United Kingdom,,421386,130127,23619,2695
28,Iceland,,10426,2687,367,11
29,Liechtenstein,,1258,333,46,1
30,Norway,,162156,44894,6138,192
31,Switzerland,,260887,66245,9082,263
