,State,642,647,654,661,668,675,682,689,696,703
0,Washington,NaN,206,195,179,164,149,132,112,92,72
1,Illinois,NaN,199,177,140,119,109,101,91,78,65
2,California,NaN,652,608,530,474,443,423,403,374,344
3,Arizona,NaN,367,349,302,266,240,211,176,139,106
4,Massachusetts,NaN,132,148,142,140,143,139,125,103,79
5,Wisconsin,NaN,389,362,277,205,157,122,94,72,55
6,Texas,NaN,500,434,342,269,215,173,139,110,85
7,Nebraska,NaN,111,110,97,79,62,48,37,28,22
8,Utah,NaN,114,170,154,120,90,66,47,33,23
9,Oregon,NaN,112,102,95,91,89,84,76,65,53
10,Florida,NaN,386,297,203,155,135,126,120,113,103
11,New York,NaN,435,385,314,268,240,211,175,139,107
12,Rhode Island,NaN,23,22,20,18,16,14,11,8,6
13,Georgia,NaN,194,165,121,89,69,55,44,35,28
14,New Hampshire,NaN,80,91,92,89,83,71,56,41,28
15,North Carolina,NaN,256,198,157,131,111,95,79,64,52
16,New Jersey,NaN,137,111,82,66,59,53,46,39,31
17,Colorado,NaN,282,290,239,195,163,133,103,77,55
18,Maryland,NaN,63,51,40,35,33,31,29,26,22
19,Nevada,NaN,96,85,69,59,52,46,39,32,26
20,Tennessee,NaN,233,172,125,92,69,53,41,32,25
21,Hawaii,NaN,15,13,11,10,10,11,11,12,11
22,Indiana,NaN,158,124,87,62,46,34,25,19,14
23,Kentucky,NaN,225,198,148,109,83,64,48,35,26
24,Minnesota,NaN,301,299,270,230,192,157,124,94,70
25,Oklahoma,NaN,109,106,80,63,53,46,39,33,26
26,Pennsylvania,NaN,713,622,493,405,346,295,242,191,145
27,South Carolina,NaN,160,125,93,67,48,35,25,18,13
28,District of Columbia,NaN,4,3,2,1,1,1,1,1,1
29,Kansas,NaN,137,143,120,93,73,56,43,33,25
30,Missouri,NaN,164,131,101,79,62,49,39,31,25
31,Vermont,NaN,19,22,23,23,22,20,16,11,8
32,Virginia,NaN,251,224,187,158,137,120,102,85,71
33,Connecticut,NaN,60,61,56,54,56,55,51,44,36
34,Iowa,NaN,137,124,97,74,58,46,36,27,21
35,Louisiana,NaN,84,66,51,38,29,22,16,13,10
36,Ohio,NaN,388,294,196,135,97,71,51,37,26
37,Michigan,NaN,654,620,538,462,400,340,278,217,164
38,South Dakota,NaN,49,47,37,29,24,20,16,13,10
39,Arkansas,NaN,70,59,43,33,27,23,19,16,13
40,Delaware,NaN,46,43,36,30,26,21,17,12,8
41,Mississippi,NaN,63,53,46,38,32,27,23,19,16
42,New Mexico,NaN,130,142,128,113,102,92,79,65,51
43,North Dakota,NaN,51,43,30,20,13,9,6,4,2
44,Wyoming,NaN,83,85,72,55,40,29,20,14,9
45,Alaska,NaN,60,67,62,49,36,24,16,10,6
46,Maine,NaN,70,69,64,58,52,45,36,28,21
47,Alabama,NaN,147,130,110,94,83,73,62,52,42
48,Idaho,NaN,144,150,138,111,81,56,37,24,15
49,Montana,NaN,142,142,103,73,53,38,26,17,11
50,Puerto Rico,NaN,16,15,14,13,13,14,15,17,18
51,Virgin Islands,NaN,1,1,1,1,0,0,0,0,0
52,Guam,NaN,6,7,6,5,4,3,2,1,1
53,West Virginia,NaN,141,112,88,69,53,36,23,14,8
54,Northern Mariana Islands,NaN,0,0,0,0,0,0,0,0,0
55,American Samoa,NaN,0,0,0,0,0,0,0,0,0
