,State,502,507,514,521,528,535,542,549,556,563,570
0,Washington,NaN,73,54,41,35,32,32,32,33,33,33
1,Illinois,NaN,134,90,58,41,31,24,19,16,13,11
2,California,NaN,263,276,293,293,283,282,287,296,306,315
3,Arizona,NaN,90,72,63,62,65,70,77,85,96,108
4,Massachusetts,NaN,25,21,16,11,7,5,3,2,2,1
5,Wisconsin,NaN,79,54,32,20,13,9,6,4,3,3
6,Texas,NaN,218,180,153,129,109,96,86,80,74,70
7,Nebraska,NaN,0,0,0,0,0,0,0,0,0,0
8,Utah,NaN,11,9,7,6,5,4,4,3,3,2
9,Oregon,NaN,25,17,11,8,6,5,4,4,3,3
10,Florida,NaN,193,155,129,110,95,84,75,68,63,58
11,New York,NaN,101,88,79,69,60,55,51,50,49,49
12,Rhode Island,NaN,2,3,4,3,2,1,1,0,0,0
13,Georgia,NaN,139,108,80,60,44,34,26,21,16,13
14,New Hampshire,NaN,3,2,1,0,0,0,0,0,0,0
15,North Carolina,NaN,66,47,33,25,19,16,13,11,9,8
16,New Jersey,NaN,60,54,50,45,41,38,36,35,34,34
17,Colorado,NaN,56,39,27,21,17,15,13,12,11,10
18,Maryland,NaN,66,42,26,18,13,10,8,7,6,5
19,Nevada,NaN,18,17,16,15,13,11,9,7,6,5
20,Tennessee,NaN,30,23,17,13,9,7,5,4,3,3
21,Hawaii,NaN,2,1,1,0,0,0,0,0,0,0
22,Indiana,NaN,55,40,31,25,20,17,14,12,10,9
23,Kentucky,NaN,128,102,79,61,46,35,27,21,17,14
24,Minnesota,NaN,23,15,8,4,2,1,1,0,0,0
25,Oklahoma,NaN,38,26,17,13,11,10,10,9,9,10
26,Pennsylvania,NaN,107,79,56,41,31,24,20,16,14,12
27,South Carolina,NaN,26,20,15,11,8,5,4,3,2,2
28,District of Columbia,NaN,3,2,2,2,2,2,2,3,3,3
29,Kansas,NaN,16,10,5,2,1,0,0,0,0,0
30,Missouri,NaN,57,59,60,56,51,48,47,48,50,53
31,Vermont,NaN,0,0,0,0,0,0,0,0,0,0
32,Virginia,NaN,70,60,50,42,36,32,29,27,26,25
33,Connecticut,NaN,8,6,4,3,2,1,1,1,1,0
34,Iowa,NaN,15,10,6,3,2,1,0,0,0,0
35,Louisiana,NaN,43,34,28,23,20,17,14,12,11,9
36,Ohio,NaN,3,2,2,1,1,1,0,0,0,0
37,Michigan,NaN,98,68,41,24,15,9,6,4,3,2
38,South Dakota,NaN,16,9,4,2,1,1,0,0,0,0
39,Arkansas,NaN,18,13,9,7,5,4,3,2,2,1
40,Delaware,NaN,1,1,1,1,1,0,0,0,0,0
41,Mississippi,NaN,19,12,7,4,2,1,1,0,0,0
42,New Mexico,NaN,18,13,8,5,4,2,2,1,1,0
43,North Dakota,NaN,4,2,1,0,0,0,0,0,0,0
44,Wyoming,NaN,1,1,0,0,0,0,0,0,0,0
45,Alaska,NaN,0,0,0,0,0,0,0,0,0,0
46,Maine,NaN,1,1,0,0,0,0,0,0,0,0
47,Alabama,NaN,22,16,9,5,3,2,1,0,0,0
48,Idaho,NaN,7,5,3,2,1,1,1,0,0,0
49,Montana,NaN,12,9,6,4,3,2,2,1,1,1
50,Puerto Rico,NaN,0,0,0,0,0,0,0,0,0,0
51,Virgin Islands,NaN,0,0,0,0,0,0,0,0,0,0
52,Guam,NaN,0,0,0,0,0,0,0,0,0,0
53,West Virginia,NaN,15,12,8,5,4,3,2,1,1,1
54,Northern Mariana Islands,NaN,0,0,0,0,0,0,0,0,0,0
55,American Samoa,NaN,0,0,0,0,0,0,0,0,0,0
