,State,302,311,318,325,332,339
0,Washington,2603,157,202,228,228,211
1,Illinois,11648,1078,1373,1514,1443,1302
2,California,18542,405,466,485,444,378
3,Arizona,6384,165,184,187,171,148
4,Massachusetts,10435,208,228,225,193,156
5,Wisconsin,3010,162,141,121,104,90
6,Texas,20565,1075,1234,1345,1387,1391
7,Nebraska,854,73,76,73,65,56
8,Utah,756,86,102,115,118,115
9,Oregon,808,67,75,80,80,77
10,Florida,17810,514,544,555,541,510
11,New York,34215,325,420,482,469,436
12,Rhode Island,1288,46,51,53,51,46
13,Georgia,9102,331,355,365,358,339
14,New Hampshire,506,29,41,45,39,33
15,North Carolina,4936,153,147,136,121,105
16,New Jersey,16689,241,323,384,384,355
17,Colorado,2730,307,414,453,401,331
18,Maryland,4372,155,199,221,207,178
19,Nevada,1953,107,130,148,156,155
20,Tennessee,4128,266,275,275,264,244
21,Hawaii,223,5,5,5,5,5
22,Indiana,5143,448,537,587,562,481
23,Kentucky,1742,103,108,108,102,93
24,Minnesota,3138,448,538,579,578,544
25,Oklahoma,1588,122,146,158,154,140
26,Pennsylvania,9569,526,703,801,750,629
27,South Carolina,4201,61,55,49,45,41
28,District of Columbia,667,5,5,5,5,5
29,Kansas,1326,103,113,116,107,91
30,Missouri,3520,221,235,240,226,202
31,Vermont,61,0,0,0,0,0
32,Virginia,3896,115,126,133,135,134
33,Connecticut,4805,108,125,128,111,86
34,Iowa,2127,159,133,118,112,108
35,Louisiana,6199,185,223,237,221,190
36,Ohio,5890,408,555,662,661,593
37,Michigan,8717,822,1084,1249,1205,1015
38,South Dakota,705,96,98,97,95,91
39,Arkansas,2297,128,130,127,120,111
40,Delaware,742,14,16,17,15,14
41,Mississippi,3619,142,159,165,164,159
42,New Mexico,1302,225,296,351,387,403
43,North Dakota,801,99,97,95,91,88
44,Wyoming,176,23,23,23,23,23
45,Alaska,101,7,7,8,7,7
46,Maine,171,24,33,40,45,49
47,Alabama,3419,252,307,361,403,440
48,Idaho,835,55,55,53,50,46
49,Montana,561,88,94,99,103,105
50,Puerto Rico,982,75,87,96,98,95
51,Virgin Islands,23,0,0,0,0,0
52,Guam,92,NaN,NaN,NaN,NaN,NaN
53,West Virginia,623,106,134,152,152,144
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
