,State,396,402
0,Washington,333794,5033
1,Illinois,1174330,8587
2,California,3531846,25858
3,Arizona,807967,6572
4,Massachusetts,569284,8637
5,Wisconsin,612240,4105
6,Texas,2600660,10573
7,Nebraska,198949,1359
8,Utah,366735,4113
9,Oregon,152818,2177
10,Florida,1868772,38849
11,New York,1591672,45976
12,Rhode Island,123145,1675
13,Georgia,985505,18100
14,New Hampshire,73413,2226
15,North Carolina,842637,17764
16,New Jersey,766405,16366
17,Colorado,420614,5650
18,Maryland,376355,4027
19,Nevada,290972,1846
20,Tennessee,765137,4376
21,Hawaii,27361,138
22,Indiana,655541,4187
23,Kentucky,396997,5570
24,Minnesota,479036,5218
25,Oklahoma,419354,3326
26,Pennsylvania,915639,13417
27,South Carolina,504149,16107
28,District of Columbia,39648,602
29,Kansas,293215,3349
30,Missouri,491489,2976
31,Vermont,14493,764
32,Virginia,564115,9159
33,Connecticut,273101,3895
34,Iowa,359525,8707
35,Louisiana,424176,1002
36,Ohio,953767,9906
37,Michigan,636269,5740
38,South Dakota,111304,887
39,Arkansas,315514,1045
40,Delaware,84732,1380
41,Mississippi,290632,2455
42,New Mexico,182789,1546
43,North Dakota,99277,571
44,Wyoming,53795,657
45,Alaska,57393,882
46,Maine,43497,474
47,Alabama,486843,4003
48,Idaho,169150,1474
49,Montana,98779,1227
50,Puerto Rico,99084,895
51,Virgin Islands,2575,37
52,Guam,7715,3
53,West Virginia,129616,1430
54,Northern Mariana Islands,143,10
55,American Samoa,0,0
