,State,410,416
0,Washington,344532,4335
1,Illinois,1198257,12158
2,California,3599250,24769
3,Arizona,826454,9767
4,Massachusetts,591356,8628
5,Wisconsin,621654,3790
6,Texas,2695558,39674
7,Nebraska,203026,1886
8,Utah,374850,2795
9,Oregon,157285,996
10,Florida,1944995,37926
11,New York,1694651,47867
12,Rhode Island,128121,2348
13,Georgia,1023487,14522
14,New Hampshire,76861,1076
15,North Carolina,872176,10360
16,New Jersey,812609,22494
17,Colorado,436612,7662
18,Maryland,387319,4929
19,Nevada,296190,2145
20,Tennessee,783484,7118
21,Hawaii,28107,286
22,Indiana,667262,4340
23,Kentucky,410709,4572
24,Minnesota,490011,5216
25,Oklahoma,428997,3870
26,Pennsylvania,950773,15067
27,South Carolina,525865,6891
28,District of Columbia,41419,638
29,Kansas,298188,1515
30,Missouri,498008,2273
31,Vermont,16083,928
32,Virginia,585700,9285
33,Connecticut,285330,6562
34,Iowa,339672,5898
35,Louisiana,433785,3739
36,Ohio,978471,10173
37,Michigan,656072,11237
38,South Dakota,113589,1119
39,Arkansas,324818,3605
40,Delaware,88354,1361
41,Mississippi,297581,2820
42,New Mexico,186922,1528
43,North Dakota,100391,539
44,Wyoming,54764,359
45,Alaska,59285,1132
46,Maine,45794,1140
47,Alabama,499819,5338
48,Idaho,172931,1551
49,Montana,100914,898
50,Puerto Rico,101327,1244
51,Virgin Islands,2714,102
52,Guam,7749,8
53,West Virginia,133445,1274
54,Northern Mariana Islands,145,5
55,American Samoa,0,0
