,State,578,584
0,Washington,NaN,25857
1,Illinois,NaN,26560
2,California,NaN,120766
3,Arizona,NaN,22968
4,Massachusetts,NaN,10699
5,Wisconsin,NaN,10526
6,Texas,NaN,163164
7,Nebraska,NaN,4373
8,Utah,NaN,8432
9,Oregon,NaN,18147
10,Florida,NaN,157496
11,New York,NaN,34743
12,Rhode Island,NaN,2750
13,Georgia,NaN,71045
14,New Hampshire,NaN,2005
15,North Carolina,NaN,46570
16,New Jersey,NaN,13865
17,Colorado,NaN,10284
18,Maryland,NaN,7769
19,Nevada,NaN,7144
20,Tennessee,NaN,47094
21,Hawaii,NaN,5652
22,Indiana,NaN,24584
23,Kentucky,NaN,26134
24,Minnesota,NaN,10598
25,Oklahoma,NaN,17004
26,Pennsylvania,NaN,19740
27,South Carolina,NaN,28701
28,District of Columbia,NaN,1313
29,Kansas,NaN,4066
30,Missouri,NaN,16894
31,Vermont,NaN,1013
32,Virginia,NaN,19763
33,Connecticut,NaN,4569
34,Iowa,NaN,6692
35,Louisiana,NaN,40639
36,Ohio,NaN,26465
37,Michigan,NaN,14662
38,South Dakota,NaN,2334
39,Arkansas,NaN,13878
40,Delaware,NaN,2619
41,Mississippi,NaN,29768
42,New Mexico,NaN,6538
43,North Dakota,NaN,1708
44,Wyoming,NaN,2727
45,Alaska,NaN,4055
46,Maine,NaN,1258
47,Alabama,NaN,27388
48,Idaho,NaN,6265
49,Montana,NaN,2951
50,Puerto Rico,NaN,7096
51,Virgin Islands,NaN,449
52,Guam,NaN,494
53,West Virginia,NaN,6996
54,Northern Mariana Islands,NaN,0
55,American Samoa,NaN,0
