,State,375,381
0,Washington,311597,11313
1,Illinois,1126301,22169
2,California,3324264,124380
3,Arizona,758404,28859
4,Massachusetts,524025,19741
5,Wisconsin,592140,8471
6,Texas,2376344,111159
7,Nebraska,190713,3682
8,Utah,346624,9499
9,Oregon,142416,4382
10,Florida,1721377,68111
11,New York,1419907,77317
12,Rhode Island,114438,2786
13,Georgia,909445,36759
14,New Hampshire,65695,2820
15,North Carolina,757526,35343
16,New Jersey,696829,34823
17,Colorado,396185,8360
18,Maryland,354473,11545
19,Nevada,278308,5518
20,Tennessee,727861,11617
21,Hawaii,26072,708
22,Indiana,626682,11440
23,Kentucky,362881,12579
24,Minnesota,461807,4989
25,Oklahoma,389472,13180
26,Pennsylvania,846046,38555
27,South Carolina,443386,22125
28,District of Columbia,36872,1689
29,Kansas,276956,6154
30,Missouri,473977,10034
31,Vermont,11965,700
32,Virginia,504779,36305
33,Connecticut,250023,8704
34,Iowa,319408,5253
35,Louisiana,400626,10931
36,Ohio,895792,26296
37,Michigan,610138,11439
38,South Dakota,108250,220
39,Arkansas,295268,8210
40,Delaware,78071,3234
41,Mississippi,275001,10772
42,New Mexico,174064,3753
43,North Dakota,97629,744
44,Wyoming,51912,925
45,Alaska,54351,650
46,Maine,39324,1514
47,Alabama,459639,21045
48,Idaho,162683,1855
49,Montana,93949,2696
50,Puerto Rico,93624,3260
51,Virgin Islands,2398,193
52,Guam,7579,16
53,West Virginia,121001,4577
54,Northern Mariana Islands,132,3
55,American Samoa,0,0
