,State,571,577
0,Washington,507294,34208
1,Illinois,1457687,27680
2,California,4132332,96666
3,Arizona,965462,22905
4,Massachusetts,734486,9320
5,Wisconsin,704857,11494
6,Texas,3339500,102304
7,Nebraska,232399,2855
8,Utah,444385,6566
9,Oregon,238463,14966
10,Florida,2920749,170678
11,New York,2205869,34606
12,Rhode Island,157589,2159
13,Georgia,1252615,57712
14,New Hampshire,102901,1595
15,North Carolina,1107414,45226
16,New Jersey,1060934,12925
17,Colorado,589526,9424
18,Maryland,479952,7121
19,Nevada,371126,8061
20,Tennessee,941261,33989
21,Hawaii,51200,5496
22,Indiana,796733,19319
23,Kentucky,512224,21833
24,Minnesota,624851,9675
25,Oklahoma,508834,18354
26,Pennsylvania,1254613,16475
27,South Carolina,656313,27085
28,District of Columbia,52201,1425
29,Kansas,348850,18620
30,Missouri,727584,18037
31,Vermont,26040,939
32,Virginia,717826,15913
33,Connecticut,361836,4094
34,Iowa,387273,6559
35,Louisiana,614776,57147
36,Ohio,1159759,22966
37,Michigan,1028630,12523
38,South Dakota,126749,1296
39,Arkansas,419807,15267
40,Delaware,114486,1918
41,Mississippi,381147,26939
42,New Mexico,218569,5004
43,North Dakota,113330,1140
44,Wyoming,68272,2247
45,Alaska,79823,2632
46,Maine,72522,1445
47,Alabama,634897,28313
48,Idaho,208054,4574
49,Montana,119864,2476
50,Puerto Rico,158351,7972
51,Virgin Islands,5295,497
52,Guam,8911,311
53,West Virginia,171997,3831
54,Northern Mariana Islands,183,0
55,American Samoa,0,0
