,State,515,521
0,Washington,447203,2071
1,Illinois,1388634,883
2,California,3808258,5114
3,Arizona,889727,2860
4,Massachusetts,709395,237
5,Wisconsin,676673,191
6,Texas,2985659,7574
7,Nebraska,223986,177
8,Utah,411610,2045
9,Oregon,206777,1462
10,Florida,2354416,63369
11,New York,2111845,1730
12,Rhode Island,152383,113
13,Georgia,1131048,1991
14,New Hampshire,99254,177
15,North Carolina,1010113,1841
16,New Jersey,1021182,1491
17,Colorado,553868,2179
18,Maryland,461739,345
19,Nevada,328875,1877
20,Tennessee,866027,614
21,Hawaii,37353,263
22,Indiana,751242,1809
23,Kentucky,463337,1100
24,Minnesota,604509,508
25,Oklahoma,455535,1544
26,Pennsylvania,1214895,1104
27,South Carolina,595448,246
28,District of Columbia,49243,65
29,Kansas,317610,600
30,Missouri,617498,4955
31,Vermont,24360,24
32,Virginia,678649,589
33,Connecticut,348665,203
34,Iowa,373098,427
35,Louisiana,477453,750
36,Ohio,1108902,1354
37,Michigan,998149,666
38,South Dakota,124393,57
39,Arkansas,345605,1664
40,Delaware,109548,238
41,Mississippi,319948,801
42,New Mexico,204698,669
43,North Dakota,110567,44
44,Wyoming,61490,346
45,Alaska,70875,262
46,Maine,68826,152
47,Alabama,548657,511
48,Idaho,194006,455
49,Montana,113167,291
50,Puerto Rico,139753,374
51,Virgin Islands,3752,55
52,Guam,8267,27
53,West Virginia,163382,333
54,Northern Mariana Islands,183,0
55,American Samoa,0,0
