,State,480,486
0,Washington,NaN,5634
1,Illinois,NaN,8342
2,California,NaN,9395
3,Arizona,NaN,4083
4,Massachusetts,NaN,3210
5,Wisconsin,NaN,2674
6,Texas,NaN,10860
7,Nebraska,NaN,727
8,Utah,NaN,2039
9,Oregon,NaN,3898
10,Florida,NaN,18822
11,New York,NaN,9518
12,Rhode Island,NaN,635
13,Georgia,NaN,4350
14,New Hampshire,NaN,828
15,North Carolina,NaN,6689
16,New Jersey,NaN,277
17,Colorado,NaN,7384
18,Maryland,NaN,1776
19,Nevada,NaN,2521
20,Tennessee,NaN,3531
21,Hawaii,NaN,424
22,Indiana,NaN,4613
23,Kentucky,NaN,3129
24,Minnesota,NaN,4920
25,Oklahoma,NaN,1060
26,Pennsylvania,NaN,9288
27,South Carolina,NaN,2062
28,District of Columbia,NaN,294
29,Kansas,NaN,913
30,Missouri,NaN,2719
31,Vermont,NaN,351
32,Virginia,NaN,2368
33,Connecticut,NaN,1494
34,Iowa,NaN,1201
35,Louisiana,NaN,3732
36,Ohio,NaN,5922
37,Michigan,NaN,8456
38,South Dakota,NaN,273
39,Arkansas,NaN,1150
40,Delaware,NaN,568
41,Mississippi,NaN,1851
42,New Mexico,NaN,1219
43,North Dakota,NaN,510
44,Wyoming,NaN,445
45,Alaska,NaN,397
46,Maine,NaN,1578
47,Alabama,NaN,4485
48,Idaho,NaN,1107
49,Montana,NaN,650
50,Puerto Rico,NaN,511
51,Virgin Islands,NaN,64
52,Guam,NaN,61
53,West Virginia,NaN,1994
54,Northern Mariana Islands,NaN,4
55,American Samoa,NaN,0
