,State,445,451
0,Washington,376230,9157
1,Illinois,1279663,25614
2,California,3700471,20269
3,Arizona,849561,5334
4,Massachusetts,659569,13460
5,Wisconsin,645514,7431
6,Texas,2826977,30214
7,Nebraska,214207,2822
8,Utah,390104,2603
9,Oregon,170568,4213
10,Florida,2124233,45857
11,New York,1956594,50200
12,Rhode Island,141097,2696
13,Georgia,1073792,8420
14,New Hampshire,88854,3213
15,North Carolina,929406,9863
16,New Jersey,953490,22267
17,Colorado,478678,12072
18,Maryland,426730,10252
19,Nevada,308024,2950
20,Tennessee,822085,7568
21,Hawaii,32067,700
22,Indiana,698692,8217
23,Kentucky,433085,3635
24,Minnesota,542053,16631
25,Oklahoma,442805,2618
26,Pennsylvania,1073924,29228
27,South Carolina,562691,5437
28,District of Columbia,45830,822
29,Kansas,305773,1044
30,Missouri,588626,4798
31,Vermont,21202,1196
32,Virginia,635552,10567
33,Connecticut,321586,7468
34,Iowa,357019,3847
35,Louisiana,448838,3372
36,Ohio,1039455,14974
37,Michigan,820404,59843
38,South Dakota,119705,1442
39,Arkansas,332153,1130
40,Delaware,98570,2295
41,Mississippi,307449,1104
42,New Mexico,193368,875
43,North Dakota,104745,1092
44,Wyoming,56873,398
45,Alaska,64782,1773
46,Maine,53960,2579
47,Alabama,518899,1600
48,Idaho,183153,2010
49,Montana,106183,1329
50,Puerto Rico,115299,7494
51,Virgin Islands,2971,38
52,Guam,7837,32
53,West Virginia,146169,2376
54,Northern Mariana Islands,160,0
55,American Samoa,0,0
