,State,732,738
0,Washington,NaN,296
1,Illinois,NaN,1142
2,California,NaN,952
3,Arizona,NaN,467
4,Massachusetts,NaN,716
5,Wisconsin,NaN,405
6,Texas,NaN,1021
7,Nebraska,NaN,43
8,Utah,NaN,76
9,Oregon,NaN,75
10,Florida,NaN,842
11,New York,NaN,1806
12,Rhode Island,NaN,89
13,Georgia,NaN,462
14,New Hampshire,NaN,87
15,North Carolina,NaN,419
16,New Jersey,NaN,806
17,Colorado,NaN,259
18,Maryland,NaN,501
19,Nevada,NaN,162
20,Tennessee,NaN,1030
21,Hawaii,NaN,17
22,Indiana,NaN,748
23,Kentucky,NaN,252
24,Minnesota,NaN,273
25,Oklahoma,NaN,285
26,Pennsylvania,NaN,1102
27,South Carolina,NaN,276
28,District of Columbia,NaN,17
29,Kansas,NaN,259
30,Missouri,NaN,543
31,Vermont,NaN,25
32,Virginia,NaN,71
33,Connecticut,NaN,316
34,Iowa,NaN,202
35,Louisiana,NaN,280
36,Ohio,NaN,17
37,Michigan,NaN,1250
38,South Dakota,NaN,59
39,Arkansas,NaN,73
40,Delaware,NaN,57
41,Mississippi,NaN,151
42,New Mexico,NaN,168
43,North Dakota,NaN,33
44,Wyoming,NaN,19
45,Alaska,NaN,119
46,Maine,NaN,61
47,Alabama,NaN,129
48,Idaho,NaN,75
49,Montana,NaN,44
50,Puerto Rico,NaN,NaN
51,Virgin Islands,NaN,NaN
52,Guam,NaN,NaN
53,West Virginia,NaN,127
54,Northern Mariana Islands,NaN,NaN
55,American Samoa,NaN,NaN
