,State,746,752
0,Washington,NaN,329
1,Illinois,NaN,742
2,California,NaN,1559
3,Arizona,NaN,483
4,Massachusetts,NaN,644
5,Wisconsin,NaN,420
6,Texas,NaN,1676
7,Nebraska,NaN,115
8,Utah,NaN,60
9,Oregon,NaN,184
10,Florida,NaN,1409
11,New York,NaN,1171
12,Rhode Island,NaN,67
13,Georgia,NaN,711
14,New Hampshire,NaN,59
15,North Carolina,NaN,675
16,New Jersey,NaN,685
17,Colorado,NaN,183
18,Maryland,NaN,279
19,Nevada,NaN,318
20,Tennessee,NaN,1189
21,Hawaii,NaN,38
22,Indiana,NaN,607
23,Kentucky,NaN,213
24,Minnesota,NaN,315
25,Oklahoma,NaN,422
26,Pennsylvania,NaN,1238
27,South Carolina,NaN,833
28,District of Columbia,NaN,12
29,Kansas,NaN,239
30,Missouri,NaN,656
31,Vermont,NaN,28
32,Virginia,NaN,823
33,Connecticut,NaN,219
34,Iowa,NaN,274
35,Louisiana,NaN,378
36,Ohio,NaN,16
37,Michigan,NaN,976
38,South Dakota,NaN,66
39,Arkansas,NaN,219
40,Delaware,NaN,50
41,Mississippi,NaN,603
42,New Mexico,NaN,156
43,North Dakota,NaN,52
44,Wyoming,NaN,38
45,Alaska,NaN,13
46,Maine,NaN,91
47,Alabama,NaN,382
48,Idaho,NaN,104
49,Montana,NaN,55
50,Puerto Rico,NaN,NaN
51,Virgin Islands,NaN,NaN
52,Guam,NaN,NaN
53,West Virginia,NaN,147
54,Northern Mariana Islands,NaN,NaN
55,American Samoa,NaN,NaN
