,State,753,759
0,Washington,11316,430
1,Illinois,34228,684
2,California,82558,1885
3,Arizona,27180,598
4,Massachusetts,22791,572
5,Wisconsin,12877,385
6,Texas,82270,1806
7,Nebraska,3815,89
8,Utah,4261,79
9,Oregon,6355,208
10,Florida,67572,1830
11,New York,66523,914
12,Rhode Island,3376,28
13,Georgia,34076,914
14,New Hampshire,2294,66
15,North Carolina,21665,793
16,New Jersey,32380,537
17,Colorado,11601,523
18,Maryland,13917,230
19,Nevada,9334,268
20,Tennessee,23326,410
21,Hawaii,1262,33
22,Indiana,22136,552
23,Kentucky,13300,298
24,Minnesota,11957,294
25,Oklahoma,13847,450
26,Pennsylvania,42203,896
27,South Carolina,16136,464
28,District of Columbia,1309,16
29,Kansas,7720,7
30,Missouri,18217,484
31,Vermont,566,20
32,Virginia,17482,967
33,Connecticut,10260,148
34,Iowa,8829,302
35,Louisiana,16176,386
36,Ohio,35005,12
37,Michigan,33463,887
38,South Dakota,2730,54
39,Arkansas,10065,203
40,Delaware,2643,49
41,Mississippi,11558,455
42,New Mexico,6658,174
43,North Dakota,2201,31
44,Wyoming,1667,25
45,Alaska,1114,36
46,Maine,1828,31
47,Alabama,17571,220
48,Idaho,4552,105
49,Montana,3067,51
50,Puerto Rico,4030,NaN
51,Virgin Islands,105,NaN
52,Guam,306,NaN
53,West Virginia,5992,206
54,Northern Mariana Islands,23,NaN
55,American Samoa,0,NaN
