,State,739,745
0,Washington,10699,398
1,Illinois,33121,1108
2,California,79801,1494
3,Arizona,26206,654
4,Massachusetts,21909,709
5,Wisconsin,12291,458
6,Texas,79374,1444
7,Nebraska,3666,154
8,Utah,4107,62
9,Oregon,6086,226
10,Florida,64955,1570
11,New York,64778,1637
12,Rhode Island,3302,84
13,Georgia,32868,727
14,New Hampshire,2205,99
15,North Carolina,20595,555
16,New Jersey,31412,845
17,Colorado,11061,359
18,Maryland,13465,387
19,Nevada,8913,253
20,Tennessee,22142,759
21,Hawaii,1180,27
22,Indiana,21301,801
23,Kentucky,12890,260
24,Minnesota,11532,343
25,Oklahoma,13210,290
26,Pennsylvania,40563,1349
27,South Carolina,15266,215
28,District of Columbia,1284,20
29,Kansas,7519,251
30,Missouri,17403,191
31,Vermont,533,23
32,Virginia,16127,361
33,Connecticut,9985,325
34,Iowa,8501,324
35,Louisiana,15631,429
36,Ohio,33537,0
37,Michigan,32197,1048
38,South Dakota,2637,51
39,Arkansas,9616,145
40,Delaware,2531,34
41,Mississippi,10831,155
42,New Mexico,6417,224
43,North Dakota,2140,37
44,Wyoming,1625,36
45,Alaska,1085,40
46,Maine,1738,54
47,Alabama,17086,229
48,Idaho,4405,103
49,Montana,2993,19
50,Puerto Rico,3854,NaN
51,Virgin Islands,99,NaN
52,Guam,285,NaN
53,West Virginia,5743,171
54,Northern Mariana Islands,23,NaN
55,American Samoa,0,NaN
