,State,676,682
0,Washington,NaN,138
1,Illinois,NaN,104
2,California,NaN,554
3,Arizona,NaN,381
4,Massachusetts,NaN,110
5,Wisconsin,NaN,196
6,Texas,NaN,334
7,Nebraska,NaN,40
8,Utah,NaN,48
9,Oregon,NaN,265
10,Florida,NaN,61
11,New York,NaN,228
12,Rhode Island,NaN,9
13,Georgia,NaN,247
14,New Hampshire,NaN,27
15,North Carolina,NaN,107
16,New Jersey,NaN,106
17,Colorado,NaN,303
18,Maryland,NaN,43
19,Nevada,NaN,78
20,Tennessee,NaN,201
21,Hawaii,NaN,21
22,Indiana,NaN,174
23,Kentucky,NaN,237
24,Minnesota,NaN,246
25,Oklahoma,NaN,100
26,Pennsylvania,NaN,519
27,South Carolina,NaN,110
28,District of Columbia,NaN,0
29,Kansas,NaN,57
30,Missouri,NaN,72
31,Vermont,NaN,2
32,Virginia,NaN,182
33,Connecticut,NaN,23
34,Iowa,NaN,149
35,Louisiana,NaN,41
36,Ohio,NaN,513
37,Michigan,NaN,627
38,South Dakota,NaN,20
39,Arkansas,NaN,57
40,Delaware,NaN,22
41,Mississippi,NaN,45
42,New Mexico,NaN,67
43,North Dakota,NaN,37
44,Wyoming,NaN,0
45,Alaska,NaN,21
46,Maine,NaN,48
47,Alabama,NaN,67
48,Idaho,NaN,62
49,Montana,NaN,111
50,Puerto Rico,NaN,NaN
51,Virgin Islands,NaN,NaN
52,Guam,NaN,NaN
53,West Virginia,NaN,131
54,Northern Mariana Islands,NaN,NaN
55,American Samoa,NaN,NaN
