,State,809,815
0,Washington,NaN,78
1,Illinois,NaN,101
2,California,NaN,466
3,Arizona,NaN,721
4,Massachusetts,NaN,38
5,Wisconsin,NaN,40
6,Texas,NaN,279
7,Nebraska,NaN,14
8,Utah,NaN,14
9,Oregon,NaN,244
10,Florida,NaN,303
11,New York,NaN,61
12,Rhode Island,NaN,4
13,Georgia,NaN,363
14,New Hampshire,NaN,6
15,North Carolina,NaN,54
16,New Jersey,NaN,68
17,Colorado,NaN,9
18,Maryland,NaN,27
19,Nevada,NaN,77
20,Tennessee,NaN,453
21,Hawaii,NaN,5
22,Indiana,NaN,70
23,Kentucky,NaN,205
24,Minnesota,NaN,59
25,Oklahoma,NaN,190
26,Pennsylvania,NaN,138
27,South Carolina,NaN,88
28,District of Columbia,NaN,0
29,Kansas,NaN,115
30,Missouri,NaN,13
31,Vermont,NaN,3
32,Virginia,NaN,210
33,Connecticut,NaN,30
34,Iowa,NaN,15
35,Louisiana,NaN,55
36,Ohio,NaN,195
37,Michigan,NaN,118
38,South Dakota,NaN,17
39,Arkansas,NaN,48
40,Delaware,NaN,4
41,Mississippi,NaN,18
42,New Mexico,NaN,116
43,North Dakota,NaN,30
44,Wyoming,NaN,7
45,Alaska,NaN,0
46,Maine,NaN,29
47,Alabama,NaN,84
48,Idaho,NaN,24
49,Montana,NaN,9
50,Puerto Rico,NaN,NaN
51,Virgin Islands,NaN,NaN
52,Guam,NaN,NaN
53,West Virginia,NaN,0
54,Northern Mariana Islands,NaN,NaN
55,American Samoa,NaN,NaN
