,County,221,227,234,241,248,255
0,01001,1345,39,33,29,24,21
1,01003,4402,334,309,281,250,224
2,01005,628,23,20,17,15,13
3,01007,533,25,23,21,19,17
4,01009,1025,103,97,88,78,69
5,01011,536,8,6,6,5,4
6,01013,835,10,8,7,6,5
7,01015,2346,254,238,220,200,179
8,01017,868,27,24,22,20,18
9,01019,345,37,34,32,29,26
10,01021,1079,69,62,56,49,43
11,01023,316,9,9,8,7,7
12,01025,921,40,35,30,26,22
13,01027,352,17,15,14,12,11
14,01029,200,11,11,10,9,9
15,01031,954,71,64,58,52,47
16,01033,1426,64,56,49,44,38
17,01035,435,15,13,11,10,8
18,01037,111,7,6,6,5,5
19,01039,813,52,46,40,36,31
20,01041,390,20,18,16,15,13
21,01043,1434,114,107,99,90,83
22,01045,1012,66,60,53,46,40
23,01047,1421,34,29,24,20,17
24,01049,2051,78,70,62,55,47
25,01051,2014,66,56,49,42,37
26,01053,1213,57,49,41,33,29
27,01055,2657,202,182,165,146,129
28,01057,284,27,26,25,22,20
29,01059,1536,27,23,20,16,15
30,01061,382,52,50,47,43,39
31,01063,277,6,5,5,4,3
32,01065,529,12,10,8,7,6
33,01067,323,19,18,16,15,13
34,01069,1831,158,145,130,117,103
35,01071,1274,84,77,70,62,55
36,01073,15731,870,800,731,662,594
37,01075,271,17,15,14,12,11
38,01077,1405,99,93,85,78,73
39,01079,459,41,38,35,33,31
40,01081,3247,192,174,154,135,121
41,01083,1638,72,66,58,52,47
42,01085,600,5,4,4,3,2
43,01087,393,20,18,16,14,12
44,01089,6220,417,390,363,335,306
45,01091,624,17,14,13,11,10
46,01093,713,46,42,39,34,31
47,01095,3478,96,83,71,60,52
48,01097,11981,565,509,454,406,362
49,01099,443,22,19,17,15,13
50,01101,7737,167,144,123,108,94
51,01103,2802,116,102,91,80,70
52,01105,477,10,9,7,5,5
53,01107,531,25,22,18,16,14
54,01109,821,33,28,25,21,19
55,01111,469,27,26,24,22,20
56,01113,1535,55,49,43,38,32
57,01115,1641,112,103,94,83,76
58,01117,4068,280,258,238,217,197
59,01119,396,4,3,3,3,2
60,01121,1296,163,152,139,125,111
61,01123,924,37,33,30,27,24
62,01125,5123,217,195,173,153,136
63,01127,1815,47,41,35,30,26
64,01129,498,23,21,19,17,15
65,01131,479,11,9,8,7,6
66,01133,543,26,24,22,19,17
67,02013,2,0,0,1,1,1
68,02016,7,1,1,1,1,2
69,02020,2972,510,508,492,470,445
70,02050,59,7,7,7,7,7
71,02060,10,0,0,0,0,0
72,02068,1,0,0,0,0,0
73,02070,5,3,4,5,6,6
74,02090,635,100,106,109,111,109
75,02100,5,0,0,0,0,0
76,02105,0,1,2,2,2,1
77,02110,174,22,22,22,22,21
78,02122,410,37,36,36,35,34
79,02130,46,1,1,1,2,1
80,02150,14,1,1,1,1,0
81,02158,8,,,,,NaN
82,02164,0,0,0,0,0,0
83,02170,472,118,120,119,117,111
84,02180,39,3,3,2,2,2
85,02185,39,7,7,7,7,7
86,02188,66,5,5,4,4,4
87,02195,7,0,0,0,0,0
88,02198,25,2,2,2,2,2
89,02220,38,4,4,3,3,3
90,02230,0,0,0,0,0,0
91,02240,18,0,0,0,0,0
92,02261,73,3,2,1,1,1
93,02275,11,0,0,0,0,0
94,02282,18,0,0,0,0,0
95,02290,71,1,1,1,0,0
96,04001,3338,44,38,32,27,21
97,04003,1815,40,38,37,38,41
98,04005,3318,46,37,31,26,23
99,04007,1106,47,42,36,31,27
100,04009,714,42,37,32,28,24
101,04011,58,2,2,2,2,2
102,04012,498,6,4,3,3,3
103,04013,133641,2032,1974,1929,1848,1740
104,04015,3606,103,88,73,62,53
105,04017,5598,40,30,24,18,14
106,04019,21189,550,471,407,352,309
107,04021,9524,128,111,97,88,78
108,04023,2723,11,9,7,7,7
109,04025,2303,102,99,96,91,81
110,04027,12230,137,106,84,68,56
111,05001,282,28,27,26,25,23
112,05003,388,21,20,19,18,17
113,05005,137,39,42,44,44,45
114,05007,5334,100,83,70,59,50
115,05009,356,51,51,51,51,47
116,05011,289,21,19,17,15,13
117,05013,23,1,1,1,1,1
118,05015,465,24,23,21,20,18
119,05017,962,16,12,9,8,6
120,05019,229,19,20,19,18,18
121,05021,180,14,14,14,14,13
122,05023,258,15,14,14,13,12
123,05025,136,8,8,7,7,6
124,05027,293,30,30,29,29,27
125,05029,202,18,18,18,17,16
126,05031,1851,171,162,151,139,126
127,05033,916,40,39,39,38,38
128,05035,1641,65,59,53,47,42
129,05037,275,24,23,22,21,19
130,05039,127,10,10,9,8,7
131,05041,239,13,12,12,11,10
132,05043,303,18,17,16,15,15
133,05045,1679,138,132,123,115,103
134,05047,162,23,23,22,22,20
135,05049,69,12,13,13,13,13
136,05051,1407,167,168,165,159,152
137,05053,192,18,17,17,15,14
138,05055,632,69,65,63,59,56
139,05057,330,34,31,29,26,25
140,05059,1717,48,46,43,37,34
141,05061,423,16,14,12,11,9
142,05063,760,89,87,80,73,66
143,05065,102,22,22,22,20,18
144,05067,182,22,22,21,20,19
145,05069,2091,167,160,148,135,122
146,05071,754,21,18,16,14,12
147,05073,66,5,5,5,5,4
148,05075,248,17,17,16,16,14
149,05077,1002,6,6,5,5,4
150,05079,1600,30,28,25,22,19
151,05081,278,41,40,38,34,30
152,05083,364,24,23,23,21,20
153,05085,717,82,81,77,71,65
154,05087,295,9,9,8,7,7
155,05089,44,7,8,8,8,8
156,05091,601,45,43,41,38,36
157,05093,1349,102,92,82,70,62
158,05095,94,8,8,8,7,6
159,05097,96,18,18,17,16,15
160,05099,162,7,7,6,6,5
161,05101,120,7,7,8,7,8
162,05103,157,28,28,28,27,26
163,05105,63,6,6,6,6,5
164,05107,404,25,23,20,18,17
165,05109,174,19,19,17,16,15
166,05111,486,63,60,54,48,43
167,05113,224,18,18,17,16,14
168,05115,1732,78,69,62,55,49
169,05117,115,6,6,6,5,5
170,05119,7024,427,394,362,331,300
171,05121,309,31,29,27,25,22
172,05123,1344,37,34,30,28,24
173,05125,1567,165,154,142,133,121
174,05127,86,10,9,9,9,8
175,05129,100,5,5,4,4,4
176,05131,2862,150,133,119,107,98
177,05133,1157,16,13,10,8,6
178,05135,147,21,22,22,22,22
179,05137,194,18,18,16,14,12
180,05139,690,64,63,60,58,53
181,05141,118,8,8,8,7,7
182,05143,6883,105,89,75,63,55
183,05145,524,95,94,92,89,83
184,05147,27,1,1,1,1,1
185,05149,1143,11,9,7,6,5
186,06001,18040,1598,1636,1657,1643,1582
187,06003,2,0,0,0,0,0
188,06005,278,21,21,22,21,22
189,06007,1948,349,365,362,347,322
190,06009,236,29,33,37,38,38
191,06011,441,23,23,22,22,21
192,06013,13700,1157,1155,1132,1102,1052
193,06015,122,16,19,21,23,24
194,06017,958,132,141,146,152,155
195,06019,24821,1610,1471,1335,1197,1068
196,06021,440,28,27,27,26,24
197,06023,368,50,52,54,57,58
198,06025,10667,182,149,119,97,78
199,06027,174,16,16,17,16,16
200,06029,29105,1360,1244,1136,1030,921
201,06031,6142,123,114,107,101,93
202,06033,332,67,75,80,82,81
203,06035,716,14,18,23,27,31
204,06037,240749,7573,7258,6892,6473,5998
205,06039,3674,261,242,216,189,164
206,06041,6068,176,171,161,152,141
207,06043,71,6,6,6,6,6
208,06045,689,110,116,120,120,114
209,06047,7890,491,440,384,333,283
210,06049,10,0,0,1,1,2
211,06051,162,4,4,5,4,4
212,06053,7685,515,491,464,434,398
213,06055,1413,139,135,129,121,112
214,06057,442,63,67,69,69,64
215,06059,48444,2347,2413,2428,2398,2313
216,06061,2973,285,277,262,249,236
217,06063,40,2,3,4,4,5
218,06065,51918,2365,2169,1978,1784,1616
219,06067,17588,2120,2124,2076,1994,1891
220,06069,1090,35,33,31,28,25
221,06071,47373,2599,2446,2274,2088,1905
222,06073,38300,1691,1738,1823,1918,1999
223,06075,9428,807,803,792,777,757
224,06077,17493,758,699,641,581,526
225,06079,2917,318,321,314,304,294
226,06081,8074,681,694,690,682,659
227,06083,8052,373,347,327,308,293
228,06085,17013,1615,1711,1793,1818,1785
229,06087,1746,210,211,213,213,210
230,06089,562,134,159,179,193,200
