,County,578,584,591,598,605,612,619
0,01001,NaN,235,189,130,81,45,25
1,01003,NaN,2111,1839,1368,885,517,285
2,01005,NaN,117,98,78,58,35,23
3,01007,NaN,119,113,86,56,35,19
4,01009,NaN,289,280,222,153,99,58
5,01011,NaN,15,11,5,1,0,0
6,01013,NaN,63,47,31,18,10,4
7,01015,NaN,788,1000,1184,1259,1237,1126
8,01017,NaN,170,134,86,53,29,16
9,01019,NaN,90,82,57,36,20,12
10,01021,NaN,265,271,229,159,101,59
11,01023,NaN,0,0,0,0,0,0
12,01025,NaN,85,69,46,29,16,10
13,01027,NaN,72,89,86,74,60,48
14,01029,NaN,0,0,0,0,0,0
15,01031,NaN,403,321,246,174,114,70
16,01033,NaN,240,219,173,124,84,53
17,01035,NaN,65,63,50,33,21,11
18,01037,NaN,62,83,87,78,66,53
19,01039,NaN,244,216,162,104,65,36
20,01041,NaN,84,74,54,35,20,12
21,01043,NaN,522,488,385,261,168,96
22,01045,NaN,484,376,256,156,89,47
23,01047,NaN,128,131,122,94,69,50
24,01049,NaN,438,518,536,474,373,275
25,01051,NaN,616,681,638,502,345,225
26,01053,NaN,347,250,139,71,31,10
27,01055,NaN,672,761,771,670,548,408
28,01057,NaN,62,59,47,33,22,14
29,01059,NaN,139,140,124,98,74,49
30,01061,NaN,224,194,134,86,49,27
31,01063,NaN,7,3,0,0,0,0
32,01065,NaN,43,37,29,18,11,7
33,01067,NaN,104,86,64,37,19,9
34,01069,NaN,714,706,617,501,357,251
35,01071,NaN,238,265,249,215,164,123
36,01073,NaN,4526,4962,5051,4726,3923,3013
37,01075,NaN,33,28,19,13,7,2
38,01077,NaN,601,649,597,472,340,215
39,01079,NaN,120,122,94,64,37,21
40,01081,NaN,1153,1251,1188,971,723,489
41,01083,NaN,522,514,437,334,229,146
42,01085,NaN,0,0,0,0,0,0
43,01087,NaN,65,62,49,35,23,14
44,01089,NaN,1845,2258,2420,2201,1800,1356
45,01091,NaN,86,83,64,41,26,14
