,County,669,675
0,01001,NaN,75
1,01003,NaN,139
2,01005,NaN,23
3,01007,NaN,23
4,01009,NaN,128
5,01011,NaN,2
6,01013,NaN,29
7,01015,NaN,65
8,01017,NaN,0
9,01019,NaN,23
10,01021,NaN,55
11,01023,NaN,10
12,01025,NaN,21
13,01027,NaN,16
14,01029,NaN,11
15,01031,NaN,19
16,01033,NaN,64
17,01035,NaN,13
18,01037,NaN,0
19,01039,NaN,34
20,01041,NaN,25
21,01043,NaN,84
22,01045,NaN,25
23,01047,NaN,25
24,01049,NaN,82
25,01051,NaN,111
26,01053,NaN,23
27,01055,NaN,25
28,01057,NaN,91
29,01059,NaN,46
30,01061,NaN,10
31,01063,NaN,5
32,01065,NaN,12
33,01067,NaN,24
34,01069,NaN,82
35,01071,NaN,1
36,01073,NaN,76
37,01075,NaN,56
38,01077,NaN,75
39,01079,NaN,80
40,01081,NaN,80
41,01083,NaN,85
42,01085,NaN,0
43,01087,NaN,0
44,01089,NaN,140
45,01091,NaN,12
46,01093,NaN,19
47,01095,NaN,34
48,01097,NaN,348
49,01099,NaN,15
50,01101,NaN,78
51,01103,NaN,88
52,01105,NaN,5
53,01107,NaN,13
54,01109,NaN,4
55,01111,NaN,15
56,01113,NaN,40
57,01115,NaN,81
58,01117,NaN,171
59,01119,NaN,9
60,01121,NaN,86
61,01123,NaN,0
62,01125,NaN,180
63,01127,NaN,122
64,01129,NaN,11
65,01131,NaN,29
66,01133,NaN,17
67,02013,NaN,1
68,02016,NaN,3
69,02020,NaN,1109
70,02050,NaN,317
71,02060,NaN,0
72,02068,NaN,8
73,02070,NaN,17
74,02090,NaN,382
75,02100,NaN,2
76,02105,NaN,0
77,02110,NaN,57
78,02122,NaN,240
79,02130,NaN,136
80,02150,NaN,22
81,02158,NaN,62
82,02164,NaN,27
83,02170,NaN,608
84,02180,NaN,249
85,02185,NaN,42
86,02188,NaN,163
87,02195,NaN,124
88,02198,NaN,27
89,02220,NaN,14
90,02230,NaN,0
91,02240,NaN,18
92,02261,NaN,0
93,02275,NaN,44
94,02282,NaN,13
95,02290,NaN,19
96,04001,NaN,233
97,04003,NaN,506
98,04005,NaN,519
99,04007,NaN,402
100,04009,NaN,255
101,04011,NaN,69
102,04012,NaN,40
103,04013,NaN,14822
104,04015,NaN,832
105,04017,NaN,867
106,04019,NaN,4207
107,04021,NaN,2543
108,04023,NaN,217
109,04025,NaN,1317
110,04027,NaN,275
111,05001,NaN,4
112,05003,NaN,7
113,05005,NaN,85
114,05007,NaN,503
115,05009,NaN,73
116,05011,NaN,7
117,05013,NaN,5
118,05015,NaN,32
119,05017,NaN,3
120,05019,NaN,28
121,05021,NaN,34
122,05023,NaN,76
123,05025,NaN,3
124,05027,NaN,12
125,05029,NaN,38
126,05031,NaN,207
127,05033,NaN,69
128,05035,NaN,76
129,05037,NaN,17
130,05039,NaN,1
131,05041,NaN,8
132,05043,NaN,9
133,05045,NaN,270
134,05047,NaN,32
135,05049,NaN,70
136,05051,NaN,60
137,05053,NaN,9
138,05055,NaN,84
139,05057,NaN,15
140,05059,NaN,45
141,05061,NaN,24
142,05063,NaN,222
143,05065,NaN,93
144,05067,NaN,68
145,05069,NaN,34
146,05071,NaN,9
147,05073,NaN,7
148,05075,NaN,78
149,05077,NaN,3
150,05079,NaN,7
151,05081,NaN,13
152,05083,NaN,40
153,05085,NaN,136
154,05087,NaN,62
155,05089,NaN,82
156,05091,NaN,51
157,05093,NaN,117
158,05095,NaN,6
159,05097,NaN,9
160,05099,NaN,9
161,05101,NaN,20
162,05103,NaN,18
163,05105,NaN,32
164,05107,NaN,6
165,05109,NaN,12
166,05111,NaN,54
167,05113,NaN,1
168,05115,NaN,101
169,05117,NaN,1
170,05119,NaN,439
171,05121,NaN,28
172,05123,NaN,4
173,05125,NaN,138
174,05127,NaN,11
175,05129,NaN,29
176,05131,NaN,240
177,05133,NaN,38
178,05135,NaN,91
179,05137,NaN,84
180,05139,NaN,59
181,05141,NaN,36
182,05143,NaN,318
183,05145,NaN,218
184,05147,NaN,10
185,05149,NaN,27
186,06001,NaN,604
187,06003,NaN,0
188,06005,NaN,31
189,06007,NaN,202
190,06009,NaN,56
191,06011,NaN,35
192,06013,NaN,430
193,06015,NaN,10
194,06017,NaN,142
195,06019,NaN,1132
196,06021,NaN,19
197,06023,NaN,151
198,06025,NaN,494
199,06027,NaN,36
200,06029,NaN,2337
201,06031,NaN,280
202,06033,NaN,46
203,06035,NaN,70
204,06037,NaN,8001
205,06039,NaN,261
206,06041,NaN,101
207,06043,NaN,70
208,06045,NaN,160
209,06047,NaN,285
210,06049,NaN,20
211,06051,NaN,7
212,06053,NaN,383
213,06055,NaN,66
