,County,809,815
0,01001,NaN,118
1,01003,NaN,90
2,01005,NaN,3
3,01007,NaN,6
4,01009,NaN,42
5,01011,NaN,1
6,01013,NaN,1
7,01015,NaN,0
8,01017,NaN,4
9,01019,NaN,6
10,01021,NaN,26
11,01023,NaN,5
12,01025,NaN,38
13,01027,NaN,0
14,01029,NaN,0
15,01031,NaN,12
16,01033,NaN,24
17,01035,NaN,8
18,01037,NaN,4
19,01039,NaN,4
20,01041,NaN,2
21,01043,NaN,12
22,01045,NaN,4
23,01047,NaN,9
24,01049,NaN,9
25,01051,NaN,190
26,01053,NaN,32
27,01055,NaN,0
28,01057,NaN,3
29,01059,NaN,2
30,01061,NaN,2
31,01063,NaN,1
32,01065,NaN,4
33,01067,NaN,0
34,01069,NaN,17
35,01071,NaN,0
36,01073,NaN,212
37,01075,NaN,1
38,01077,NaN,27
39,01079,NaN,3
40,01081,NaN,17
41,01083,NaN,18
42,01085,NaN,0
43,01087,NaN,8
44,01089,NaN,168
45,01091,NaN,9
46,01093,NaN,4
47,01095,NaN,3
48,01097,NaN,33
49,01099,NaN,0
50,01101,NaN,65
51,01103,NaN,12
52,01105,NaN,1
53,01107,NaN,2
54,01109,NaN,4
55,01111,NaN,1
56,01113,NaN,15
57,01115,NaN,28
58,01117,NaN,104
59,01119,NaN,1
60,01121,NaN,23
61,01123,NaN,7
62,01125,NaN,125
63,01127,NaN,69
64,01129,NaN,1
65,01131,NaN,9
66,01133,NaN,0
67,02013,NaN,20
68,02016,NaN,1
69,02020,NaN,717
70,02050,NaN,44
71,02060,NaN,0
72,02068,NaN,1
73,02070,NaN,67
74,02090,NaN,82
75,02100,NaN,1
76,02105,NaN,0
77,02110,NaN,77
78,02122,NaN,80
79,02130,NaN,18
80,02150,NaN,32
81,02158,NaN,12
82,02164,NaN,3
83,02170,NaN,158
84,02180,NaN,62
85,02185,NaN,29
86,02188,NaN,83
87,02195,NaN,12
88,02198,NaN,6
89,02220,NaN,20
90,02230,NaN,7
91,02240,NaN,22
92,02261,NaN,0
93,02275,NaN,15
94,02282,NaN,0
95,02290,NaN,5
96,04001,NaN,64
97,04003,NaN,92
98,04005,NaN,197
99,04007,NaN,156
100,04009,NaN,1
101,04011,NaN,0
102,04012,NaN,15
103,04013,NaN,7430
104,04015,NaN,44
105,04017,NaN,40
106,04019,NaN,828
107,04021,NaN,1562
108,04023,NaN,59
109,04025,NaN,247
110,04027,NaN,61
111,05001,NaN,5
112,05003,NaN,0
113,05005,NaN,8
114,05007,NaN,65
115,05009,NaN,4
116,05011,NaN,3
117,05013,NaN,0
118,05015,NaN,1
119,05017,NaN,1
120,05019,NaN,5
121,05021,NaN,2
122,05023,NaN,1
123,05025,NaN,3
124,05027,NaN,0
125,05029,NaN,8
126,05031,NaN,21
127,05033,NaN,6
128,05035,NaN,7
129,05037,NaN,2
130,05039,NaN,3
131,05041,NaN,2
132,05043,NaN,0
133,05045,NaN,20
134,05047,NaN,2
135,05049,NaN,3
136,05051,NaN,14
137,05053,NaN,4
138,05055,NaN,5
139,05057,NaN,0
140,05059,NaN,0
141,05061,NaN,1
142,05063,NaN,8
143,05065,NaN,2
144,05067,NaN,13
145,05069,NaN,4
146,05071,NaN,5
147,05073,NaN,0
148,05075,NaN,4
149,05077,NaN,0
150,05079,NaN,0
151,05081,NaN,5
152,05083,NaN,4
153,05085,NaN,22
154,05087,NaN,5
155,05089,NaN,5
156,05091,NaN,3
157,05093,NaN,4
158,05095,NaN,0
159,05097,NaN,1
160,05099,NaN,0
161,05101,NaN,0
162,05103,NaN,4
163,05105,NaN,3
