,County,753,759
0,01001,15307,303
1,01003,54444,943
2,01005,5409,78
3,01007,6314,126
4,01009,14556,270
5,01011,2266,15
6,01013,4993,133
7,01015,31185,755
8,01017,8373,86
9,01019,5005,102
10,01021,10354,181
11,01023,1938,102
12,01025,6959,83
13,01027,4035,105
14,01029,3504,106
15,01031,13206,257
16,01033,15922,329
17,01035,2816,28
18,01037,2864,60
19,01039,9137,135
20,01041,3741,86
21,01043,24020,494
22,01045,12318,355
23,01047,8173,318
24,01049,18338,452
25,01051,22693,285
26,01053,9887,174
27,01055,28270,860
28,01057,4524,82
29,01059,9681,188
30,01061,6102,170
31,01063,1787,19
32,01065,4515,65
33,01067,4385,91
34,01069,24594,590
35,01071,14751,400
36,01073,180496,2733
37,01075,3540,94
38,01077,23583,580
39,01079,7417,172
40,01081,37267,481
41,01083,24274,511
42,01085,2587,48
43,01087,3796,49
44,01089,86721,2179
45,01091,4693,68
46,01093,7846,134
47,01095,26902,466
48,01097,110593,1857
49,01099,5217,123
50,01101,53853,823
51,01103,35309,736
52,01105,2014,40
53,01107,5001,117
54,01109,7338,203
55,01111,5016,78
56,01113,9893,167
57,01115,24676,441
58,01117,58120,940
59,01119,2369,48
60,01121,21621,462
61,01123,11188,191
62,01125,53361,1037
63,01127,18182,408
64,01129,3632,207
65,01131,2815,66
66,01133,7386,196
67,02013,1001,36
68,02016,1666,36
69,02020,98125,3069
70,02050,8685,228
71,02060,0,0
72,02068,376,14
73,02070,1481,130
74,02090,26407,884
75,02100,490,38
76,02105,0,0
77,02110,7597,296
78,02122,16304,690
79,02130,3661,182
80,02150,4650,254
81,02158,3500,96
82,02164,783,34
83,02170,33025,1069
84,02180,4676,718
85,02185,4080,285
86,02188,3804,362
87,02195,660,14
88,02198,1236,141
89,02220,2153,115
90,02230,128,13
91,02240,1923,96
92,02261,0,0
93,02275,443,9
94,02282,465,16
95,02290,1262,72
96,04001,21421,378
97,04003,30311,710
98,04005,42515,1124
99,04007,16597,389
100,04009,11730,172
101,04011,2164,48
102,04012,5048,124
103,04013,1230503,18248
104,04015,56055,1166
105,04017,36997,783
106,04019,245532,4191
107,04021,126941,2314
108,04023,16454,116
109,04025,46803,764
110,04027,61412,836
111,05001,5557,73
112,05003,4965,108
113,05005,8374,123
114,05007,64824,992
115,05009,9184,128
116,05011,2941,39
117,05013,883,17
118,05015,5912,84
119,05017,2713,28
120,05019,5087,86
121,05021,4015,78
122,05023,6260,170
123,05025,2213,32
124,05027,5160,139
125,05029,5318,122
126,05031,35798,726
127,05033,15503,199
128,05035,13588,129
129,05037,4629,60
130,05039,1687,32
131,05041,2966,45
132,05043,4519,51
133,05045,34290,663
134,05047,3704,34
135,05049,2601,4
136,05051,22176,281
137,05053,4271,81
138,05055,15457,225
139,05057,4414,81
140,05059,10792,188
141,05061,3671,35
142,05063,10385,614
143,05065,3812,86
144,05067,5871,86
145,05069,18310,247
146,05071,6498,99
147,05073,1253,20
