,County,725,731
0,01001,NaN,299
1,01003,NaN,1573
2,01005,NaN,262
3,01007,NaN,198
4,01009,NaN,353
5,01011,NaN,112
6,01013,NaN,122
7,01015,NaN,703
8,01017,NaN,224
9,01019,NaN,135
10,01021,NaN,321
11,01023,NaN,123
12,01025,NaN,289
13,01027,NaN,164
14,01029,NaN,65
15,01031,NaN,387
16,01033,NaN,491
17,01035,NaN,70
18,01037,NaN,73
19,01039,NaN,172
20,01041,NaN,125
21,01043,NaN,591
22,01045,NaN,399
23,01047,NaN,211
24,01049,NaN,319
25,01051,NaN,558
26,01053,NaN,306
27,01055,NaN,799
28,01057,NaN,109
29,01059,NaN,241
30,01061,NaN,98
31,01063,NaN,54
32,01065,NaN,182
33,01067,NaN,145
34,01069,NaN,762
35,01071,NaN,302
36,01073,NaN,6303
37,01075,NaN,103
38,01077,NaN,665
39,01079,NaN,129
40,01081,NaN,1372
41,01083,NaN,748
42,01085,NaN,103
43,01087,NaN,154
44,01089,NaN,2962
45,01091,NaN,140
46,01093,NaN,240
47,01095,NaN,497
48,01097,NaN,4155
49,01099,NaN,124
50,01101,NaN,1789
51,01103,NaN,947
52,01105,NaN,53
53,01107,NaN,190
54,01109,NaN,170
55,01111,NaN,128
56,01113,NaN,271
57,01115,NaN,946
58,01117,NaN,1769
59,01119,NaN,85
60,01121,NaN,691
61,01123,NaN,365
62,01125,NaN,1842
63,01127,NaN,329
64,01129,NaN,97
65,01131,NaN,138
66,01133,NaN,165
67,02013,NaN,91
68,02016,NaN,231
69,02020,NaN,10148
70,02050,NaN,339
71,02060,NaN,0
72,02068,NaN,10
73,02070,NaN,54
74,02090,NaN,1981
75,02100,NaN,39
76,02105,NaN,0
77,02110,NaN,862
78,02122,NaN,588
79,02130,NaN,348
80,02150,NaN,644
81,02158,NaN,251
82,02164,NaN,49
83,02170,NaN,1197
84,02180,NaN,333
85,02185,NaN,162
86,02188,NaN,193
87,02195,NaN,38
88,02198,NaN,141
89,02220,NaN,187
90,02230,NaN,5
91,02240,NaN,62
92,02261,NaN,0
93,02275,NaN,109
94,02282,NaN,137
95,02290,NaN,79
96,04001,NaN,892
97,04003,NaN,1436
98,04005,NaN,3866
99,04007,NaN,934
100,04009,NaN,396
101,04011,NaN,204
102,04012,NaN,260
103,04013,NaN,84573
104,04015,NaN,3661
105,04017,NaN,2286
106,04019,NaN,13535
107,04021,NaN,8047
108,04023,NaN,897
109,04025,NaN,1886
110,04027,NaN,2664
111,05001,NaN,861
112,05003,NaN,727
113,05005,NaN,379
114,05007,NaN,5673
115,05009,NaN,691
116,05011,NaN,353
117,05013,NaN,64
118,05015,NaN,435
119,05017,NaN,187
120,05019,NaN,530
121,05021,NaN,264
122,05023,NaN,773
123,05025,NaN,338
124,05027,NaN,564
125,05029,NaN,846
126,05031,NaN,3720
127,05033,NaN,1272
128,05035,NaN,1245
129,05037,NaN,609
130,05039,NaN,202
131,05041,NaN,487
132,05043,NaN,577
133,05045,NaN,3999
134,05047,NaN,279
135,05049,NaN,133
136,05051,NaN,1588
137,05053,NaN,514
138,05055,NaN,1434
139,05057,NaN,397
140,05059,NaN,760
141,05061,NaN,540
142,05063,NaN,971
143,05065,NaN,322
144,05067,NaN,248
145,05069,NaN,2138
146,05071,NaN,423
147,05073,NaN,148
148,05075,NaN,327
149,05077,NaN,177
150,05079,NaN,410
151,05081,NaN,363
152,05083,NaN,333
153,05085,NaN,2151
154,05087,NaN,259
155,05089,NaN,124
156,05091,NaN,625
157,05093,NaN,1227
158,05095,NaN,311
159,05097,NaN,97
160,05099,NaN,218
161,05101,NaN,138
162,05103,NaN,463
163,05105,NaN,232
164,05107,NaN,456
165,05109,NaN,293
166,05111,NaN,595
167,05113,NaN,250
168,05115,NaN,1498
169,05117,NaN,208
170,05119,NaN,13355
171,05121,NaN,209
172,05123,NaN,542
173,05125,NaN,3432
174,05127,NaN,75
175,05129,NaN,329
176,05131,NaN,2574
177,05133,NaN,462
178,05135,NaN,256
179,05137,NaN,163
180,05139,NaN,697
181,05141,NaN,391
182,05143,NaN,6884
183,05145,NaN,1830
184,05147,NaN,138
185,05149,NaN,499
186,06001,NaN,22424
187,06003,NaN,3
188,06005,NaN,284
189,06007,NaN,1427
190,06009,NaN,401
191,06011,NaN,84
192,06013,NaN,13601
193,06015,NaN,158
194,06017,NaN,1452
195,06019,NaN,10309
196,06021,NaN,164
197,06023,NaN,1263
198,06025,NaN,2670
199,06027,NaN,339
200,06029,NaN,15580
201,06031,NaN,1607
202,06033,NaN,345
203,06035,NaN,782
204,06037,NaN,326525
205,06039,NaN,660
206,06041,NaN,2192
207,06043,NaN,375
208,06045,NaN,424
209,06047,NaN,2328
210,06049,NaN,15
211,06051,NaN,171
212,06053,NaN,3097
213,06055,NaN,1511
214,06057,NaN,885
215,06059,NaN,91719
216,06061,NaN,3788
217,06063,NaN,136
218,06065,NaN,36369
219,06067,NaN,18495
220,06069,NaN,719
221,06071,NaN,32771
222,06073,NaN,176812
223,06075,NaN,11049
224,06077,NaN,9462
225,06079,NaN,2869
226,06081,NaN,9645
227,06083,NaN,5778
228,06085,NaN,28194
229,06087,NaN,4375
230,06089,NaN,0
231,06091,NaN,5
232,06093,NaN,176
233,06095,NaN,4304
234,06097,NaN,7375
235,06099,NaN,10198
236,06101,NaN,898
237,06103,NaN,399
238,06105,NaN,37
239,06107,NaN,4160
240,06109,NaN,615
241,06111,NaN,15460
242,06113,NaN,2357
243,06115,NaN,765
244,08001,NaN,15831
245,08003,NaN,332
246,08005,NaN,20758
247,08007,NaN,335
248,08009,NaN,17
249,08011,NaN,70
250,08013,NaN,8844
251,08014,NaN,1733
252,08015,NaN,723
253,08017,NaN,15
254,08019,NaN,261
255,08021,NaN,113
256,08023,NaN,89
257,08025,NaN,89
258,08027,NaN,22
259,08029,NaN,170
260,08031,NaN,21687
261,08033,NaN,6
262,08035,NaN,10037
263,08037,NaN,1533
264,08039,NaN,498
265,08041,NaN,21366
266,08043,NaN,600
267,08045,NaN,1957
268,08047,NaN,143
269,08049,NaN,441
270,08051,NaN,581
271,08053,NaN,50
272,08055,NaN,163
273,08057,NaN,2
274,08059,NaN,14741
275,08061,NaN,14
276,08063,NaN,89
277,08065,NaN,320
278,08067,NaN,2325
279,08069,NaN,8544
280,08071,NaN,254
281,08073,NaN,322
282,08075,NaN,259
283,08077,NaN,2786
284,08079,NaN,32
285,08081,NaN,151
286,08083,NaN,395
287,08085,NaN,540
288,08087,NaN,436
289,08089,NaN,175
290,08091,NaN,91
291,08093,NaN,286
292,08095,NaN,55
293,08097,NaN,1110
294,08099,NaN,140
295,08101,NaN,4485
296,08103,NaN,67
297,08105,NaN,184
298,08107,NaN,931
299,08109,NaN,64
300,08111,NaN,37
301,08113,NaN,334
302,08115,NaN,22
303,08117,NaN,1060
304,08119,NaN,417
305,08121,NaN,39
306,08123,NaN,8648
307,08125,NaN,90
308,09001,NaN,24767
309,09003,NaN,18817
310,09005,NaN,3110
311,09007,NaN,3074
312,09009,NaN,23634
313,09011,NaN,6983
314,09013,NaN,1660
315,09015,NaN,2938
316,10001,NaN,5179
317,10003,NaN,14616
318,10005,NaN,5749
319,11001,NaN,15444
320,12001,NaN,1512
321,12003,NaN,97
322,12005,NaN,597
323,12007,NaN,86
324,12009,NaN,2647
325,12011,NaN,10903
326,12013,NaN,32
327,12015,NaN,463
328,12017,NaN,325
329,12019,NaN,885
330,12021,NaN,1201
331,12023,NaN,261
332,12027,NaN,112
333,12029,NaN,40
334,12031,NaN,4385
335,12033,NaN,1122
336,12035,NaN,331
337,12037,NaN,39
338,12039,NaN,193
339,12041,NaN,44
340,12043,NaN,24
341,12045,NaN,60
342,12047,NaN,48
343,12049,NaN,119
344,12051,NaN,190
345,12053,NaN,586
346,12055,NaN,342
347,12057,NaN,5482
348,12059,NaN,76
349,12061,NaN,508
350,12063,NaN,164
351,12065,NaN,69
352,12067,NaN,19
353,12069,NaN,1455
354,12071,NaN,2886
355,12073,NaN,1410
356,12075,NaN,141
357,12077,NaN,35
358,12079,NaN,97
359,12081,NaN,1210
360,12083,NaN,1245
361,12085,NaN,566
362,12086,NaN,21142
363,12087,NaN,376
364,12089,NaN,266
365,12091,NaN,755
366,12093,NaN,188
367,12095,NaN,7000
368,12097,NaN,2019
369,12099,NaN,6062
370,12101,NaN,1860
371,12103,NaN,3230
372,12105,NaN,3360
373,12107,NaN,238
374,12109,NaN,787
375,12111,NaN,1274
376,12113,NaN,642
377,12115,NaN,1375
378,12117,NaN,1861
379,12119,NaN,279
380,12121,NaN,139
381,12123,NaN,79
382,12125,NaN,61
383,12127,NaN,1677
384,12129,NaN,140
385,12131,NaN,197
386,12133,NaN,99
387,13001,NaN,368
388,13003,NaN,170
389,13005,NaN,177
390,13007,NaN,48
391,13009,NaN,877
392,13011,NaN,331
393,13013,NaN,2314
394,13015,NaN,2095
395,13017,NaN,280
396,13019,NaN,411
397,13021,NaN,3263
398,13023,NaN,366
399,13025,NaN,171
400,13027,NaN,287
401,13029,NaN,828
402,13031,NaN,1577
403,13033,NaN,489
404,13035,NaN,476
405,13037,NaN,73
406,13039,NaN,660
407,13043,NaN,144
408,13045,NaN,2036
409,13047,NaN,1030
410,13049,NaN,122
411,13051,NaN,8764
412,13053,NaN,149
413,13055,NaN,547
414,13057,NaN,5752
415,13059,NaN,3145
416,13061,NaN,105
417,13063,NaN,5851
418,13065,NaN,159
419,13067,NaN,14788
420,13069,NaN,846
421,13071,NaN,1071
422,13073,NaN,2846
423,13075,NaN,388
424,13077,NaN,3182
425,13079,NaN,158
426,13081,NaN,523
427,13083,NaN,230
428,13085,NaN,569
429,13087,NaN,389
430,13089,NaN,12886
431,13091,NaN,428
432,13093,NaN,256
433,13095,NaN,2211
434,13097,NaN,3655
435,13099,NaN,266
436,13101,NaN,42
437,13103,NaN,1182
438,13105,NaN,401
439,13107,NaN,403
440,13109,NaN,185
441,13111,NaN,296
442,13113,NaN,2258
443,13115,NaN,2896
444,13117,NaN,5526
445,13119,NaN,440
446,13121,NaN,18968
447,13123,NaN,619
448,13125,NaN,59
449,13127,NaN,2237
450,13129,NaN,1039
451,13131,NaN,667
452,13133,NaN,339
453,13135,NaN,20227
454,13137,NaN,620
455,13139,NaN,4795
456,13141,NaN,108
457,13143,NaN,448
458,13145,NaN,842
459,13147,NaN,482
460,13149,NaN,189
461,13151,NaN,5184
462,13153,NaN,4551
463,13155,NaN,97
464,13157,NaN,2109
465,13159,NaN,308
466,13161,NaN,185
467,13163,NaN,321
468,13165,NaN,78
469,13167,NaN,189
470,13169,NaN,399
471,13171,NaN,461
472,13173,NaN,183
473,13175,NaN,1601
474,13177,NaN,526
475,13179,NaN,1790
476,13181,NaN,114
477,13183,NaN,308
478,13185,NaN,2638
479,13187,NaN,597
480,13189,NaN,443
481,13191,NaN,201
482,13193,NaN,248
483,13195,NaN,578
484,13197,NaN,209
485,13199,NaN,395
486,13201,NaN,106
487,13205,NaN,543
488,13207,NaN,394
489,13209,NaN,122
490,13211,NaN,354
491,13213,NaN,1162
492,13215,NaN,4784
493,13217,NaN,2046
494,13219,NaN,961
495,13221,NaN,341
496,13223,NaN,3243
497,13225,NaN,581
498,13227,NaN,666
499,13229,NaN,326
500,13231,NaN,456
501,13233,NaN,1235
502,13235,NaN,202
503,13237,NaN,314
504,13239,NaN,90
505,13241,NaN,367
506,13243,NaN,151
507,13245,NaN,4940
508,13247,NaN,1703
509,13249,NaN,205
510,13251,NaN,292
511,13253,NaN,239
512,13255,NaN,1777
513,13257,NaN,374
514,13259,NaN,196
515,13261,NaN,737
516,13263,NaN,183
517,13265,NaN,48
518,13267,NaN,273
519,13269,NaN,236
520,13271,NaN,162
521,13273,NaN,283
522,13275,NaN,1269
523,13277,NaN,1170
524,13279,NaN,434
525,13281,NaN,172
526,13283,NaN,111
527,13285,NaN,1381
528,13287,NaN,301
529,13289,NaN,123
530,13291,NaN,270
531,13293,NaN,559
532,13295,NaN,1056
533,13297,NaN,2058
534,13299,NaN,604
535,13301,NaN,99
536,13303,NaN,368
537,13305,NaN,408
538,13307,NaN,64
539,13309,NaN,56
540,13311,NaN,521
541,13313,NaN,3616
542,13315,NaN,229
543,13317,NaN,237
544,13319,NaN,210
545,13321,NaN,525
546,15001,NaN,1851
547,15003,NaN,20673
548,15005,NaN,0
549,15007,NaN,1298
550,15009,NaN,4225
551,16001,NaN,3797
552,16003,NaN,18
553,16005,NaN,1354
554,16007,NaN,30
555,16009,NaN,23
556,16011,NaN,574
557,16013,NaN,405
558,16015,NaN,39
559,16017,NaN,237
560,16019,NaN,2891
561,16021,NaN,22
562,16023,NaN,18
563,16025,NaN,0
564,16027,NaN,2467
565,16029,NaN,69
566,16031,NaN,42
567,16033,NaN,0
568,16035,NaN,103
569,16037,NaN,35
570,16039,NaN,362
571,16041,NaN,128
572,16043,NaN,115
573,16045,NaN,76
574,16047,NaN,36
