,Region,767,773,780,787,794
0,Belgium,,23,15,11,9
1,Bulgaria,,110,77,58,47
2,Czechia,,81,56,42,35
3,Denmark,,88,75,75,76
4,Germany,,1119,1038,1010,1035
5,Estonia,,24,19,16,14
6,Ireland,,18,15,14,15
7,Greece,,202,174,164,168
8,Spain,,162,120,98,89
9,France,,292,232,206,206
10,Croatia,,36,24,17,14
11,Italy,,339,295,285,306
12,Cyprus,,NaN,NaN,NaN,NaN
13,Latvia,,91,80,68,58
14,Lithuania,,66,55,49,47
15,Luxembourg,,2,2,2,2
16,Hungary,,101,63,43,32
17,Malta,,NaN,NaN,NaN,NaN
18,Netherlands,,50,17,6,2
19,Austria,,120,112,107,104
20,Poland,,386,286,229,200
21,Portugal,,44,34,31,31
22,Romania,,299,213,160,130
23,Slovenia,,11,6,4,3
24,Slovakia,,130,109,95,87
25,Finland,,22,14,10,9
26,Sweden,,11,5,3,1
27,United Kingdom,,113,71,50,39
28,Iceland,,8,6,4,3
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,44,42,41,43
31,Switzerland,,43,38,37,39
