,Region,802,808,815,822,829
0,Belgium,,105,97,90,85
1,Bulgaria,,49,38,29,21
2,Czechia,,79,65,54,46
3,Denmark,,52,59,78,116
4,Germany,,1738,1803,1925,2083
5,Estonia,,11,11,13,15
6,Ireland,,67,56,48,41
7,Greece,,404,393,380,364
8,Spain,,244,219,198,180
9,France,,1656,1917,2179,2349
10,Croatia,,69,67,65,63
11,Italy,,1188,1192,1195,1193
12,Cyprus,,NaN,NaN,NaN,NaN
13,Latvia,,15,14,14,15
14,Lithuania,,34,30,26,23
15,Luxembourg,,3,1,0,0
16,Hungary,,177,161,145,130
17,Malta,,NaN,NaN,NaN,NaN
18,Netherlands,,33,30,31,34
19,Austria,,143,128,128,140
20,Poland,,111,68,41,25
21,Portugal,,368,510,714,946
22,Romania,,104,85,69,55
23,Slovenia,,29,32,37,44
24,Slovakia,,74,73,77,84
25,Finland,,87,70,56,45
26,Sweden,,77,65,57,51
27,United Kingdom,,661,555,475,413
28,Iceland,,0,1,1,1
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,18,12,9,7
31,Switzerland,,13,10,8,7
