,Region,704,710,717,724,731,738,745,752,759,766,773,780,787,794,801,808,815,822,829,836
0,Belgium,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,Bulgaria,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,Czechia,,158,185,213,223,206,166,122,87,69,63,60,55,49,42,35,30,27,25,24
3,Denmark,,6,7,9,10,12,15,17,20,22,22,21,20,18,16,14,13,12,12,13
4,Germany,,1839,1626,1269,914,664,539,485,441,391,337,285,238,198,165,137,114,95,81,71
5,Estonia,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,Ireland,,9,8,8,7,7,6,6,5,5,4,4,4,3,3,3,3,3,3,3
7,Greece,,111,83,76,84,100,118,140,163,181,189,183,165,137,106,78,56,40,29,22
8,Spain,,227,267,307,341,360,361,336,292,243,202,164,128,95,66,43,27,16,10,6
9,France,,439,445,432,404,367,327,287,248,212,177,145,116,90,68,50,36,27,20,16
10,Croatia,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,Italy,,757,890,1007,1022,904,705,506,365,298,279,267,246,216,180,143,110,83,63,49
12,Cyprus,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,Latvia,,19,23,27,32,38,45,53,59,58,50,38,26,19,16,18,21,25,29,35
14,Lithuania,,36,43,51,60,70,77,74,63,47,33,25,21,20,19,19,20,23,27,32
15,Luxembourg,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,Hungary,,206,244,285,306,288,236,172,121,91,84,94,107,116,120,119,118,116,119,128
17,Malta,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,Netherlands,,99,78,62,49,39,31,25,20,17,14,12,10,9,8,7,6,6,6,6
19,Austria,,148,136,116,94,78,68,59,51,44,36,28,21,15,11,7,5,3,2,1
20,Poland,,845,661,471,333,265,265,307,364,432,513,608,721,849,941,920,780,585,410,298
21,Portugal,,31,27,24,22,19,17,15,13,11,10,8,7,5,4,3,2,2,1,1
22,Romania,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,Slovenia,,13,16,19,22,26,30,32,32,29,24,19,14,10,6,4,2,1,1,0
24,Slovakia,,113,114,99,77,54,39,32,34,40,47,55,62,65,63,59,55,52,51,55
25,Finland,,21,22,25,30,36,42,49,54,54,48,39,31,24,20,17,17,17,20,23
26,Sweden,,129,136,126,103,76,55,43,41,43,43,40,35,30,26,22,20,20,21,24
27,United Kingdom,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,Iceland,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,Norway,,20,23,27,32,38,45,53,62,69,68,59,45,33,24,20,18,17,18,20
31,Switzerland,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
