,Region,795,801,808,815,822
0,Belgium,,140,161,186,213
1,Bulgaria,,55,45,37,29
2,Czechia,,125,142,161,181
3,Denmark,,40,51,73,108
4,Germany,,523,395,327,289
5,Estonia,,11,11,13,16
6,Ireland,,131,185,245,285
7,Greece,,360,337,315,295
8,Spain,,489,676,926,1242
9,France,,1988,2573,3013,3048
10,Croatia,,54,56,60,63
11,Italy,,1418,1636,1864,2070
12,Cyprus,,NaN,NaN,NaN,NaN
13,Latvia,,18,17,18,21
14,Lithuania,,44,44,46,47
15,Luxembourg,,16,21,25,29
16,Hungary,,93,102,111,120
17,Malta,,NaN,NaN,NaN,NaN
18,Netherlands,,41,38,39,43
19,Austria,,170,152,144,145
20,Poland,,221,179,144,115
21,Portugal,,128,196,269,306
22,Romania,,96,96,94,90
23,Slovenia,,34,43,57,73
24,Slovakia,,107,116,131,147
25,Finland,,198,180,162,145
26,Sweden,,20,14,9,5
27,United Kingdom,,1065,1068,1082,1101
28,Iceland,,2,1,2,3
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,22,18,15,13
31,Switzerland,,58,50,48,49
