,Region,753,759,766,773,780,787,794,801,808,815,822,829,836,843,850,857,864,871,878,885
0,Belgium,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,Bulgaria,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,Czechia,,317,271,240,223,219,224,238,257,280,301,312,303,277,250,233,229,237,248,256
3,Denmark,,50,47,44,41,40,39,39,41,43,45,48,51,55,57,59,58,56,54,54
4,Germany,,2068,2114,2197,2283,2342,2355,2317,2207,2020,1815,1657,1577,1573,1631,1724,1814,1864,1860,1814
5,Estonia,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,Ireland,,42,44,47,52,55,57,56,52,47,43,40,40,41,43,46,47,48,47,46
7,Greece,,378,389,396,394,378,346,304,268,243,233,234,244,260,278,292,300,298,289,276
8,Spain,,1490,1167,887,715,644,644,688,751,809,839,815,750,684,646,644,672,715,749,754
9,France,,729,732,759,781,774,717,625,533,464,432,433,463,519,596,676,732,741,706,653
10,Croatia,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,Italy,,1409,1204,1135,1162,1240,1323,1364,1330,1212,1050,905,815,785,808,869,946,1008,1023,982
12,Cyprus,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,Latvia,,66,62,59,59,59,60,59,57,54,53,53,55,56,57,57,55,53,51,50
14,Lithuania,,94,89,86,85,87,91,97,103,105,101,94,89,87,88,91,94,94,92,89
15,Luxembourg,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,Hungary,,1045,1040,885,632,403,257,191,196,263,378,543,764,989,1103,1021,784,523,352,289
17,Malta,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,Netherlands,,154,149,147,146,144,142,141,139,138,138,139,141,145,153,162,170,174,174,170
19,Austria,,127,123,121,120,118,114,106,97,88,81,78,79,82,87,94,100,103,102,97
20,Poland,,3262,1968,1052,554,338,285,326,405,499,612,756,959,1268,1778,2664,4137,6084,7456,6698
21,Portugal,,126,121,125,130,127,116,102,91,83,80,80,81,85,89,92,93,92,91,90
22,Romania,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,Slovenia,,22,20,20,21,23,23,22,19,17,15,14,14,15,17,20,23,24,24,22
24,Slovakia,,168,160,152,147,144,143,141,136,130,124,121,123,128,135,141,145,145,140,134
25,Finland,,52,53,54,55,56,57,59,61,61,59,57,55,54,55,56,56,55,54,53
26,Sweden,,8,12,20,33,53,86,134,192,238,243,205,155,121,110,119,138,149,139,116
27,United Kingdom,,801,1182,1483,1515,1273,944,698,577,556,607,706,825,909,900,805,696,630,623,660
28,Iceland,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,Norway,,58,57,55,54,53,51,48,46,45,45,47,50,53,56,56,55,53,52,51
31,Switzerland,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
