,Region,718,724,731,738,745,752,759,766,773,780,787,794,801,808,815,822,829,836,843,850
0,Belgium,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,Bulgaria,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,Czechia,,109,114,95,66,44,31,23,17,13,10,7,5,4,3,4,5,7,10,16
3,Denmark,,3,3,3,2,2,2,1,1,1,1,0,0,0,0,0,1,1,2,3
4,Germany,,470,349,342,362,364,332,276,216,167,131,107,91,80,73,68,70,79,105,154
5,Estonia,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,Ireland,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
7,Greece,,94,76,61,49,41,33,26,19,14,9,5,2,1,0,0,0,0,0,0
8,Spain,,39,38,36,33,30,26,22,18,14,10,6,4,2,1,0,0,0,0,0
9,France,,95,91,88,83,77,70,63,54,45,36,28,22,16,12,10,10,11,16,24
10,Croatia,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,Italy,,152,142,128,110,92,77,64,52,41,31,22,15,10,6,4,2,2,2,2
12,Cyprus,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,Latvia,,29,21,14,9,6,5,3,2,2,1,1,1,1,2,3,5,8,13,19
14,Lithuania,,14,12,12,10,9,7,5,4,2,2,1,1,1,1,2,4,6,9,14
15,Luxembourg,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,Hungary,,102,66,48,36,28,21,16,12,9,6,4,2,2,1,1,1,1,2,3
17,Malta,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,Netherlands,,12,11,10,10,10,10,11,12,12,13,14,14,15,16,18,20,24,30,39
19,Austria,,27,27,24,20,17,14,12,9,7,5,3,2,1,0,0,0,0,0,0
20,Poland,,118,130,190,285,424,626,897,1116,1072,807,528,340,237,190,187,231,330,488,717
21,Portugal,,68,59,38,24,18,18,19,19,18,15,12,9,6,5,4,3,3,3,4
22,Romania,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,Slovenia,,5,5,5,4,4,3,3,2,2,1,1,0,0,0,0,0,0,0,0
24,Slovakia,,32,29,23,17,13,10,7,5,4,2,1,1,0,0,0,0,0,0,1
25,Finland,,12,9,7,5,4,3,2,1,0,0,0,0,0,0,0,1,1,2,3
26,Sweden,,32,25,17,11,8,6,5,4,3,2,1,1,1,1,1,2,4,6,9
27,United Kingdom,,40,39,38,37,36,34,32,29,28,26,26,26,26,26,27,30,35,44,58
28,Iceland,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,Norway,,4,4,4,4,3,3,2,1,1,0,0,0,0,0,0,1,1,2,4
31,Switzerland,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
