,County,333,346,353,360,367,374,381,388
0,01001,3741,500,554,601,638,662,671,664
1,01003,11827,1132,1114,1077,1020,950,870,784
2,01005,1336,63,65,65,66,65,64,60
3,01007,1613,226,246,262,274,279,276,268
4,01009,4218,456,436,412,384,352,321,288
5,01011,753,39,52,65,80,93,103,106
6,01013,1399,95,100,102,103,104,104,102
7,01015,8648,882,891,885,862,825,776,719
8,01017,2125,123,126,125,122,116,108,99
9,01019,1287,107,112,114,116,117,118,117
10,01021,2696,120,108,96,85,75,67,59
11,01023,474,51,81,120,169,221,261,272
12,01025,2182,585,748,892,975,969,876,724
13,01027,1055,55,56,58,56,55,52,47
14,01029,948,65,62,58,53,48,43,37
15,01031,3185,255,240,220,198,175,152,129
16,01033,4106,344,355,362,363,360,353,341
17,01035,807,18,14,10,8,6,4,3
18,01037,454,15,10,7,5,3,3,1
19,01039,2701,201,204,199,189,175,158,139
20,01041,841,87,114,147,185,227,267,304
21,01043,6269,513,445,374,308,249,198,156
22,01045,3007,239,223,202,180,157,136,115
23,01047,2601,83,71,61,51,43,36,30
24,01049,6408,575,568,551,527,497,462,425
25,01051,5535,548,536,513,480,441,396,350
26,01053,2383,105,91,79,68,58,50,43
27,01055,8916,941,953,948,925,888,837,776
28,01057,1303,145,148,148,146,141,134,126
29,01059,3021,144,132,120,108,97,87,77
30,01061,1488,74,68,61,54,50,43,40
31,01063,585,35,28,21,16,13,10,7
32,01065,1274,157,169,179,184,185,181,173
33,01067,1085,167,220,281,347,410,461,488
34,01069,6570,566,594,607,601,577,539,490
35,01071,4689,241,187,144,109,83,63,47
36,01073,45527,5149,5012,4685,4211,3657,3080,2527
37,01075,946,96,88,77,67,55,46,36
38,01077,5582,492,472,442,406,363,319,277
39,01079,1757,184,182,175,164,150,134,117
40,01081,9337,651,652,641,616,582,538,491
41,01083,5987,806,877,939,986,1016,1025,1013
42,01085,897,50,60,73,85,99,113,124
43,01087,901,55,52,50,47,44,42,39
44,01089,19314,2542,2614,2606,2521,2367,2161,1924
45,01091,1611,209,227,243,251,254,249,237
46,01093,1853,180,179,174,163,149,132,115
47,01095,8380,485,419,359,306,260,218,184
48,01097,23463,992,883,777,679,588,506,432
49,01099,1027,147,176,199,215,218,211,191
50,01101,14775,1225,1359,1479,1575,1639,1668,1656
51,01103,9355,879,850,810,763,709,652,593
52,01105,790,59,65,73,79,85,89,92
53,01107,1568,211,254,295,334,364,383,385
54,01109,1815,79,77,74,70,65,62,56
55,01111,1174,38,37,35,32,30,28,25
56,01113,2595,120,120,119,118,117,114,112
57,01115,5770,567,575,570,551,520,481,435
58,01117,13888,1182,1154,1113,1058,994,923,847
59,01119,743,126,154,174,183,176,155,128
60,01121,4655,291,256,223,192,165,139,117
61,01123,2167,102,93,84,76,67,60,53
62,01125,16663,1302,1282,1250,1204,1146,1081,1008
63,01127,4720,215,165,126,97,74,56,42
64,01129,1105,82,83,84,81,76,71,63
65,01131,817,132,147,152,143,123,99,75
66,01133,1740,51,33,22,14,10,6,4
67,02013,40,0,0,0,0,0,0,0
68,02016,169,3,1,1,0,0,0,0
69,02020,21651,1141,940,762,609,482,378,296
70,02050,2081,126,105,86,70,56,45,36
71,02060,0,,,,,,,NaN
72,02068,60,4,3,2,2,1,1,1
73,02070,111,2,1,0,1,0,0,1
74,02090,4605,268,209,161,126,96,75,57
75,02100,22,4,4,6,6,7,8,9
76,02105,0,,,,,,,NaN
77,02110,988,23,18,13,10,8,6,4
78,02122,3478,201,173,147,123,103,84,69
79,02130,230,6,5,4,4,3,2,2
80,02150,803,85,58,39,25,17,10,7
81,02158,672,43,26,16,10,6,3,2
82,02164,156,4,4,4,4,4,3,4
83,02170,5842,269,194,138,99,69,50,34
84,02180,264,20,27,35,46,58,72,86
85,02185,757,91,80,67,53,43,32,25
86,02188,391,1,1,1,0,0,0,0
87,02195,28,0,0,0,0,0,0,0
88,02198,69,2,1,1,0,0,1,0
89,02220,257,35,45,56,70,80,90,95
90,02230,15,8,15,22,32,39,39,32
91,02240,381,11,8,6,3,3,1,1
92,02261,311,7,5,3,3,1,1,1
93,02275,25,1,0,1,0,1,0,0
94,02282,52,4,5,8,12,18,22,27
95,02290,204,21,27,31,37,40,43,43
96,04001,6862,381,325,275,232,193,161,133
97,04003,6122,963,951,906,834,745,645,547
98,04005,9993,836,774,697,611,526,443,367
99,04007,4005,404,396,372,339,297,252,210
100,04009,2795,240,238,227,212,190,168,144
101,04011,354,34,32,30,28,26,23,20
102,04012,1165,77,70,62,54,48,43,36
103,04013,279885,28893,29248,29063,28350,27161,25573,23688
104,04015,9937,1525,1568,1588,1587,1564,1520,1456
105,04017,10301,521,431,355,290,236,191,154
106,04019,59116,7439,7122,6568,5849,5049,4242,3482
107,04021,23742,2628,2497,2295,2045,1773,1499,1243
108,04023,5362,464,432,395,354,310,268,229
109,04025,9366,1651,1727,1761,1752,1697,1603,1480
110,04027,24592,2263,2075,1867,1650,1438,1235,1050
111,05001,1187,123,142,155,161,159,150,133
112,05003,1159,113,109,102,94,85,74,63
113,05005,1832,176,184,188,188,184,176,164
114,05007,15694,1681,1880,2073,2254,2411,2535,2619
115,05009,2340,158,149,139,129,119,108,100
116,05011,811,146,143,132,112,90,69,50
117,05013,196,20,22,21,22,21,20,19
118,05015,1909,163,155,143,128,113,97,82
119,05017,1357,36,31,26,22,19,16,13
120,05019,1208,138,128,115,103,88,75,62
