,County,323,332,339
0,01001,3186,326,267
1,01003,10288,1105,871
2,01005,1258,96,88
3,01007,1359,134,111
4,01009,3600,433,336
5,01011,722,51,50
6,01013,1287,125,109
7,01015,7534,886,705
8,01017,1977,168,147
9,01019,1149,106,89
10,01021,2507,228,191
11,01023,444,33,31
12,01025,1755,151,128
13,01027,991,80,70
14,01029,858,79,67
15,01031,2821,304,249
16,01033,3686,361,292
17,01035,770,63,56
18,01037,423,55,45
19,01039,2465,211,179
20,01041,761,58,52
21,01043,5474,642,506
22,01045,2675,252,205
23,01047,2467,200,179
24,01049,5635,561,457
25,01051,4803,521,419
26,01053,2214,150,134
27,01055,7693,898,711
28,01057,1117,138,111
29,01059,2808,256,219
30,01061,1374,126,109
31,01063,518,64,52
32,01065,1099,112,93
33,01067,956,78,67
34,01069,5907,531,443
35,01071,4188,569,443
36,01073,38794,4324,3399
37,01075,806,92,70
38,01077,4917,576,454
39,01079,1525,168,133
40,01081,8499,736,620
41,01083,5068,561,449
42,01085,850,75,69
43,01087,823,80,68
44,01089,16115,1881,1468
45,01091,1374,129,108
46,01093,1632,176,138
47,01095,7551,828,674
48,01097,21704,1719,1554
49,01099,895,70,62
50,01101,13445,1110,983
51,01103,8129,987,781
52,01105,729,53,46
53,01107,1370,129,108
54,01109,1712,139,123
55,01111,1116,84,73
56,01113,2430,187,170
57,01115,5058,535,427
58,01117,12254,1319,1045
59,01119,636,63,57
60,01121,4180,453,365
61,01123,2018,176,153
62,01125,14931,1566,1267
63,01127,4293,476,370
64,01129,992,75,63
65,01131,694,67,59
66,01133,1613,189,149
67,02013,41,5,4
68,02016,150,24,15
69,02020,19549,2352,1847
70,02050,1847,247,199
71,02060,0,4,5
72,02068,53,6,5
73,02070,108,10,9
74,02090,4080,492,362
75,02100,18,1,1
76,02105,0,,NaN
77,02110,940,86,71
78,02122,3129,393,299
79,02130,219,20,16
80,02150,605,139,81
81,02158,549,,NaN
82,02164,152,0,0
83,02170,5213,798,588
84,02180,249,24,21
85,02185,622,81,61
86,02188,382,38,34
87,02195,29,2,2
88,02198,64,8,6
89,02220,229,27,22
90,02230,11,1,0
91,02240,351,49,36
92,02261,292,27,22
93,02275,23,2,1
94,02282,50,,NaN
95,02290,187,18,15
96,04001,6182,750,671
97,04003,4829,711,530
98,04005,8680,1016,887
99,04007,3464,400,331
100,04009,2473,285,238
101,04011,309,55,43
102,04012,1045,136,113
103,04013,241880,32298,29202
104,04015,7981,1147,911
105,04017,9313,1141,1032
106,04019,48436,7328,5886
107,04021,19941,2694,2284
108,04023,4646,668,548
109,04025,7250,1261,967
110,04027,21100,3154,2687
111,05001,1060,104,90
112,05003,1004,128,105
113,05005,1618,176,148
114,05007,13775,1478,1295
115,05009,2079,248,215
116,05011,640,101,76
117,05013,171,18,16
118,05015,1684,197,163
119,05017,1287,131,115
120,05019,1000,131,104
121,05021,1085,145,114
122,05023,854,103,84
123,05025,447,60,47
124,05027,1265,151,128
125,05029,859,127,102
126,05031,8137,936,782
127,05033,3546,403,326
128,05035,3605,350,313
129,05037,1029,150,116
130,05039,367,49,39
131,05041,704,92,75
132,05043,1070,194,138
133,05045,5681,682,560
134,05047,907,107,87
135,05049,615,63,56
136,05051,4427,534,438
137,05053,715,92,75
138,05055,3628,500,396
139,05057,976,103,88
140,05059,3099,282,248
141,05061,896,82,71
142,05063,2298,247,216
143,05065,1057,102,94
144,05067,2339,364,255
145,05069,5557,487,457
146,05071,1417,138,117
147,05073,283,25,22
148,05075,1282,128,121
149,05077,1291,137,115
150,05079,2632,254,243
151,05081,688,68,60
152,05083,1105,121,107
153,05085,3124,369,313
154,05087,787,102,82
155,05089,503,56,48
156,05091,2308,201,181
157,05093,3679,419,348
158,05095,352,39,32
159,05097,381,60,42
160,05099,505,49,45
161,05101,492,52,45
162,05103,1005,165,126
163,05105,303,36,30
164,05107,1040,106,92
165,05109,471,64,49
166,05111,1890,215,181
167,05113,987,139,111
168,05115,4186,438,367
169,05117,392,37,32
170,05119,19073,2125,1826
171,05121,1167,145,119
172,05123,2281,233,199
173,05125,5829,774,622
174,05127,454,60,48
175,05129,377,50,38
176,05131,7828,810,688
177,05133,1836,173,155
178,05135,822,90,76
179,05137,573,79,62
180,05139,1775,217,181
181,05141,507,85,66
182,05143,17377,1802,1632
183,05145,3399,356,307
184,05147,250,32,26
185,05149,1864,202,175
186,06001,35047,5236,4163
187,06003,58,8,6
188,06005,1203,247,139
189,06007,4757,530,438
190,06009,670,103,73
191,06011,896,101,75
192,06013,28391,3267,2717
193,06015,506,51,41
194,06017,3529,663,454
195,06019,41954,3323,2728
196,06021,1117,128,99
197,06023,1195,155,119
198,06025,17913,1586,1449
199,06027,357,33,29
200,06029,47411,6678,5113
201,06031,12716,1635,1289
202,06033,1161,154,116
203,06035,2930,409,282
204,06037,487917,85762,71030
205,06039,7468,923,692
206,06041,8249,757,684
207,06043,171,26,20
208,06045,1873,254,190
209,06047,14058,1739,1448
210,06049,212,24,17
211,06051,656,61,51
212,06053,17891,1840,1524
213,06055,3858,597,452
214,06057,1895,313,222
215,06059,94647,14191,11308
216,06061,8860,1594,1124
217,06063,311,46,33
218,06065,111053,23506,18749
219,06067,45336,6369,5206
220,06069,2314,341,264
221,06071,115641,18888,14541
222,06073,99599,13861,11033
223,06075,17628,1961,1569
224,06077,30579,3968,3273
225,06079,7105,823,687
226,06081,16884,2159,1751
227,06083,12636,1278,1136
228,06085,44039,7690,5416
229,06087,5527,818,630
230,06089,6375,944,698
231,06091,25,2,1
232,06093,863,111,83
233,06095,12533,1747,1402
234,06097,13994,1363,1231
235,06099,25675,3670,2950
236,06101,4502,533,393
237,06103,2148,293,224
238,06105,217,35,25
239,06107,24239,2574,2263
240,06109,1458,298,199
241,06111,23830,2949,2399
242,06113,5774,807,630
243,06115,2700,302,229
244,08001,34021,4113,3590
245,08003,753,111,83
246,08005,31763,4119,3558
247,08007,383,82,54
248,08009,145,25,18
249,08011,578,217,114
250,08013,12576,1364,1244
251,08014,2374,277,242
252,08015,788,110,87
253,08017,82,15,10
254,08019,224,28,23
255,08021,235,34,26
256,08023,105,14,11
257,08025,1378,163,152
258,08027,109,21,14
259,08029,954,193,136
260,08031,41309,4224,3939
261,08033,38,8,5
262,08035,12947,1904,1562
263,08037,2752,371,309
264,08039,775,120,98
265,08041,33618,5290,4391
266,08043,3570,585,455
267,08045,2762,421,333
268,08047,103,13,10
269,08049,507,82,63
270,08051,518,55,49
271,08053,11,1,1
272,08055,225,37,27
273,08057,22,2,2
274,08059,24779,3367,2756
275,08061,47,9,6
276,08063,368,55,43
277,08065,346,51,43
278,08067,1783,315,243
279,08069,12520,1835,1526
280,08071,352,69,46
281,08073,649,142,90
282,08075,2690,290,249
283,08077,7113,969,822
284,08079,37,3,3
285,08081,403,72,53
286,08083,913,152,121
287,08085,1470,263,204
288,08087,1848,222,204
289,08089,1159,268,169
290,08091,135,16,14
291,08093,290,39,32
292,08095,202,19,18
293,08097,636,97,75
294,08099,831,141,101
295,08101,10946,1905,1508
296,08103,207,37,26
297,08105,282,38,30
298,08107,823,119,97
299,08109,235,23,22
300,08111,25,3,2
301,08113,264,32,28
302,08115,116,11,10
303,08117,1776,226,185
304,08119,784,111,91
305,08121,299,40,33
306,08123,16611,2104,1849
307,08125,406,52,41
308,09001,45509,5337,5199
309,09003,35245,5087,4788
310,09005,5710,696,621
311,09007,4620,567,479
312,09009,36354,4480,4180
313,09011,7485,874,740
314,09013,3667,403,354
315,09015,3366,454,348
316,10001,6536,1097,850
