,County,222,227,234,241,248,255,262,269,276
0,01001,1348,45,45,45,45,45,45,45,45
1,01003,4422,270,270,270,270,270,270,270,270
2,01005,628,0,0,0,0,0,0,0,0
3,01007,535,20,20,20,20,20,20,20,20
4,01009,1034,73,73,73,73,73,73,73,73
5,01011,537,8,8,8,8,8,8,8,8
6,01013,837,25,25,25,25,25,25,25,25
7,01015,2377,182,182,182,182,182,182,182,182
8,01017,873,0,0,0,0,0,0,0,0
9,01019,346,11,11,11,11,11,11,11,11
10,01021,1094,113,113,113,113,113,113,113,113
11,01023,316,12,12,12,12,12,12,12,12
12,01025,923,32,32,32,32,32,32,32,32
13,01027,356,26,26,26,26,26,26,26,26
14,01029,202,24,24,24,24,24,24,24,24
15,01031,961,49,49,49,49,49,49,49,49
16,01033,1435,81,81,81,81,81,81,81,81
17,01035,436,14,14,14,14,14,14,14,14
18,01037,111,0,0,0,0,0,0,0,0
19,01039,816,0,0,0,0,0,0,0,0
20,01041,396,22,22,22,22,22,22,22,22
21,01043,1450,63,63,63,63,63,63,63,63
22,01045,1017,48,48,48,48,48,48,48,48
23,01047,1422,10,10,10,10,10,10,10,10
24,01049,2059,68,68,68,68,68,68,68,68
25,01051,2023,83,83,83,83,83,83,83,83
26,01053,1214,40,40,40,40,40,40,40,40
27,01055,2672,165,165,165,165,165,165,165,165
28,01057,284,19,19,19,19,19,19,19,19
29,01059,1539,105,105,105,105,105,105,105,105
30,01061,387,30,30,30,30,30,30,30,30
31,01063,278,6,6,6,6,6,6,6,6
32,01065,529,15,15,15,15,15,15,15,15
33,01067,328,18,18,18,18,18,18,18,18
34,01069,1838,82,82,82,82,82,82,82,82
35,01071,1275,50,50,50,50,50,50,50,50
36,01073,15872,1012,1012,1012,1012,1012,1012,1012,1012
37,01075,273,9,9,9,9,9,9,9,9
38,01077,1411,78,78,78,78,78,78,78,78
39,01079,463,46,46,46,46,46,46,46,46
40,01081,3348,284,284,284,284,284,284,284,284
41,01083,1647,96,96,96,96,96,96,96,96
42,01085,600,14,14,14,14,14,14,14,14
43,01087,396,17,17,17,17,17,17,17,17
44,01089,6258,285,285,285,285,285,285,285,285
45,01091,625,17,17,17,17,17,17,17,17
46,01093,716,60,60,60,60,60,60,60,60
47,01095,3483,62,62,62,62,62,62,62,62
48,01097,12043,411,411,411,411,411,411,411,411
49,01099,443,0,0,0,0,0,0,0,0
50,01101,7750,253,253,253,253,253,253,253,253
51,01103,2811,165,165,165,165,165,165,165,165
52,01105,478,9,9,9,9,9,9,9,9
53,01107,533,34,34,34,34,34,34,34,34
54,01109,824,43,43,43,43,43,43,43,43
55,01111,478,30,30,30,30,30,30,30,30
56,01113,1548,38,38,38,38,38,38,38,38
57,01115,1651,107,107,107,107,107,107,107,107
58,01117,4095,300,300,300,300,300,300,300,300
59,01119,396,5,5,5,5,5,5,5,5
60,01121,1303,72,72,72,72,72,72,72,72
61,01123,930,5,5,5,5,5,5,5,5
62,01125,5130,311,311,311,311,311,311,311,311
63,01127,1823,102,102,102,102,102,102,102,102
64,01129,502,12,12,12,12,12,12,12,12
65,01131,479,10,10,10,10,10,10,10,10
66,01133,545,40,40,40,40,40,40,40,40
67,02013,2,0,0,0,0,0,0,0,0
