,Region,474,479,486
0,Belgium,,19487,17407
1,Bulgaria,,3497,2301
2,Czechia,,7258,5035
3,Denmark,,6551,6344
4,Germany,,87669,69654
5,Estonia,,2149,1780
6,Ireland,,2955,2635
7,Greece,,14664,13051
8,Spain,,NaN,NaN
9,France,,87505,63872
10,Croatia,,5984,4163
11,Italy,,NaN,NaN
12,Cyprus,,NaN,NaN
13,Latvia,,4816,4770
14,Lithuania,,8166,7618
15,Luxembourg,,NaN,NaN
16,Hungary,,6127,3957
17,Malta,,58,35
18,Netherlands,,47114,41495
19,Austria,,6896,4849
20,Poland,,22783,15755
21,Portugal,,2010,1620
22,Romania,,6674,4809
23,Slovenia,,3382,2693
24,Slovakia,,1566,1086
25,Finland,,1362,1167
26,Sweden,,NaN,NaN
27,United Kingdom,,NaN,NaN
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,2562,2111
31,Switzerland,,NaN,NaN
