,Region,425,430,437,444,451
0,Belgium,,39126,50861,65633,81704
1,Bulgaria,,34230,43792,55069,67174
2,Czechia,,NaN,NaN,NaN,NaN
3,Denmark,,6452,7224,8116,9069
4,Germany,,122382,150675,185031,221768
5,Estonia,,11907,12049,12117,12090
6,Ireland,,5237,6321,7577,8703
7,Greece,,20139,22155,24395,26635
8,Spain,,NaN,NaN,NaN,NaN
9,France,,199177,208618,217482,225235
10,Croatia,,9740,14064,20244,27932
11,Italy,,162167,160304,160291,158820
12,Cyprus,,2834,2705,2690,2656
13,Latvia,,3321,3054,2804,2589
14,Lithuania,,3684,3693,3701,3706
15,Luxembourg,,NaN,NaN,NaN,NaN
16,Hungary,,82481,100475,119474,138393
17,Malta,,1595,1407,1259,1146
18,Netherlands,,64057,78116,93860,110485
19,Austria,,26212,29466,32908,36422
20,Poland,,216518,281802,364422,453495
21,Portugal,,2619,2021,1563,1250
22,Romania,,47275,54353,61917,69130
23,Slovenia,,5726,5802,5830,5836
24,Slovakia,,10011,8668,7575,6638
25,Finland,,5774,6209,6676,7113
26,Sweden,,NaN,NaN,NaN,NaN
27,United Kingdom,,NaN,NaN,NaN,NaN
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,8001,8876,9553,10147
31,Switzerland,,NaN,NaN,NaN,NaN
