,Region,453,458,465,472,479
0,Belgium,,NaN,NaN,NaN,NaN
1,Bulgaria,,11000,8275,6320,4934
2,Czechia,,16405,12160,9060,6865
3,Denmark,,6165,6785,7382,7998
4,Germany,,157589,162650,168306,173260
5,Estonia,,2796,2146,1656,1300
6,Ireland,,2408,2066,1781,1554
7,Greece,,20609,20473,20313,20145
8,Spain,,NaN,NaN,NaN,NaN
9,France,,235743,229900,222901,217023
10,Croatia,,15841,16223,16686,16920
11,Italy,,NaN,NaN,NaN,NaN
12,Cyprus,,13203,31423,70334,117778
13,Latvia,,3959,4040,4105,4156
14,Lithuania,,8357,8897,9512,10086
15,Luxembourg,,NaN,NaN,NaN,NaN
16,Hungary,,22415,15600,11156,8190
17,Malta,,324,271,236,199
18,Netherlands,,NaN,NaN,NaN,NaN
19,Austria,,15264,13113,11313,9861
20,Poland,,79767,55554,39580,28937
21,Portugal,,NaN,NaN,NaN,NaN
22,Romania,,19127,14707,11395,8937
23,Slovenia,,5094,4406,3839,3376
24,Slovakia,,4168,3426,2817,2353
25,Finland,,2144,1853,1606,1414
26,Sweden,,NaN,NaN,NaN,NaN
27,United Kingdom,,NaN,NaN,NaN,NaN
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,3357,2631,2085,1691
31,Switzerland,,NaN,NaN,NaN,NaN
