,Region,432,437,444,451,458
0,Belgium,,44438,54776,67107,80154
1,Bulgaria,,29346,31130,33089,34981
2,Czechia,,39732,30135,23239,18041
3,Denmark,,NaN,NaN,NaN,NaN
4,Germany,,157517,193885,238243,286857
5,Estonia,,7231,5910,4923,4158
6,Ireland,,NaN,NaN,NaN,NaN
7,Greece,,18971,19238,19598,20122
8,Spain,,NaN,NaN,NaN,NaN
9,France,,309619,362897,421337,479150
10,Croatia,,15683,24421,37375,54557
11,Italy,,164317,168380,172380,177058
12,Cyprus,,2637,2540,2436,2275
13,Latvia,,3462,3270,3086,2921
14,Lithuania,,5701,6615,7648,8750
15,Luxembourg,,NaN,NaN,NaN,NaN
16,Hungary,,58076,49926,43191,38040
17,Malta,,454,264,160,102
18,Netherlands,,66341,73733,81726,89471
19,Austria,,25738,26747,27819,28793
20,Poland,,NaN,NaN,NaN,NaN
21,Portugal,,NaN,NaN,NaN,NaN
22,Romania,,NaN,NaN,NaN,NaN
23,Slovenia,,7854,8867,9854,10824
24,Slovakia,,7797,6516,5425,4583
25,Finland,,NaN,NaN,NaN,NaN
26,Sweden,,NaN,NaN,NaN,NaN
27,United Kingdom,,NaN,NaN,NaN,NaN
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,6731,6492,6231,5963
31,Switzerland,,NaN,NaN,NaN,NaN
