,Region,467,472,479
0,Belgium,,17323,13187
1,Bulgaria,,NaN,NaN
2,Czechia,,10157,7025
3,Denmark,,5798,5312
4,Germany,,126508,106388
5,Estonia,,2009,1493
6,Ireland,,NaN,NaN
7,Greece,,11350,8392
8,Spain,,NaN,NaN
9,France,,119315,86672
10,Croatia,,NaN,NaN
11,Italy,,72654,56169
12,Cyprus,,NaN,NaN
13,Latvia,,4385,4002
14,Lithuania,,8837,8294
15,Luxembourg,,NaN,NaN
16,Hungary,,9019,5588
17,Malta,,75,43
18,Netherlands,,37947,27571
19,Austria,,11678,9015
20,Poland,,NaN,NaN
21,Portugal,,2461,1875
22,Romania,,7546,4645
23,Slovenia,,4148,3336
24,Slovakia,,2344,1653
25,Finland,,1078,763
26,Sweden,,NaN,NaN
27,United Kingdom,,NaN,NaN
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,2227,1602
31,Switzerland,,NaN,NaN
