,State,215,220,227,234,241,248,255,262
0,Washington,71371,3359,2879,2357,1911,1535,1233,992
1,Illinois,223206,13043,11137,9136,7490,6108,5033,4027
2,California,675561,32000,24892,18539,14173,10685,8002,5952
3,Arizona,198414,3223,2717,2071,1545,1126,824,602
4,Massachusetts,118650,1261,1124,838,626,468,347,255
5,Wisconsin,70854,4617,4117,3413,2802,2279,1876,1523
6,Texas,598262,30313,24902,20215,16574,13428,10859,8648
7,Nebraska,32047,1143,941,712,529,395,294,223
8,Utah,49364,2324,2013,1663,1339,1075,871,695
9,Oregon,25155,1607,1376,1139,928,767,639,515
10,Florida,602829,20814,16164,12156,9041,6685,4911,3624
11,New York,430145,3770,3024,2388,1889,1483,1176,940
12,Rhode Island,21302,334,321,257,204,166,133,107
13,Georgia,256253,13101,11183,9186,7352,5866,4697,3744
14,New Hampshire,7140,102,81,59,44,32,23,17
15,North Carolina,161601,10150,8742,7177,5971,4946,4040,3224
16,New Jersey,189719,1531,1217,899,679,511,381,278
17,Colorado,55321,1913,1624,1324,1063,851,692,553
18,Maryland,104669,3667,2978,2436,1978,1604,1282,1030
19,Nevada,66010,3635,3052,2532,2086,1705,1393,1115
20,Tennessee,144604,11026,9273,7794,6518,5277,4265,3449
21,Hawaii,6769,1796,1679,1435,1192,962,764,595
22,Indiana,87592,4859,4256,3633,2981,2432,1939,1517
23,Kentucky,43898,2315,2132,1648,1247,938,697,514
24,Minnesota,70298,4684,3922,3218,2633,2190,1781,1441
25,Oklahoma,53522,4631,4116,3458,2924,2449,2057,1690
26,Pennsylvania,134204,4006,3301,2657,2136,1695,1339,1045
27,South Carolina,112551,5174,4422,3571,2860,2308,1894,1517
28,District of Columbia,13639,203,181,136,101,75,55,41
29,Kansas,38546,2988,2783,2360,1946,1591,1311,1087
30,Missouri,76597,6453,5372,4265,3363,2563,1914,1480
31,Vermont,1566,29,22,16,12,8,6,4
32,Virginia,113623,6081,5144,4293,3493,2812,2226,1794
33,Connecticut,52011,267,255,206,162,128,100,81
34,Iowa,56909,3879,3368,2789,2284,1869,1526,1234
35,Louisiana,143566,5412,4101,3284,2648,2118,1710,1340
36,Ohio,115651,5380,4518,3562,2833,2246,1809,1397
37,Michigan,107686,4700,3888,3186,2580,2127,1729,1425
38,South Dakota,11425,1095,989,848,710,585,470,380
39,Arkansas,56894,3441,3064,2610,2177,1767,1460,1207
40,Delaware,16942,353,257,192,142,103,76,56
41,Mississippi,78405,5143,4453,3722,3078,2529,2034,1619
42,New Mexico,24542,966,856,697,567,452,367,293
43,North Dakota,10000,1359,1298,1141,972,821,676,555
44,Wyoming,3603,270,234,196,162,133,107,86
45,Alaska,4810,475,425,358,304,252,209,175
46,Maine,4357,146,125,100,81,66,52,41
47,Alabama,116710,4876,4260,3537,2878,2316,1863,1472
48,Idaho,30057,1656,1361,1023,781,596,438,328
49,Montana,6489,687,614,489,376,292,225,169
50,Puerto Rico,30618,2633,2358,1988,1635,1339,1094,889
51,Virgin Islands,984,153,157,130,106,84,63,49
52,Guam,907,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,9315,643,517,399,302,229,173,130
54,Northern Mariana Islands,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
