,State,302,311,318,325,332,339
0,Washington,137411,22242,26491,24541,22031,20844
1,Illinois,621383,141132,161849,146196,126557,113816
2,California,1077174,116855,147543,140419,118335,110581
3,Arizona,287225,26712,31449,31183,28397,26548
4,Massachusetts,198550,27351,33244,32878,29267,27607
5,Wisconsin,358113,52753,54464,53493,51153,48805
6,Texas,1119642,84254,92619,94381,92661,90886
7,Nebraska,109280,23973,27377,25978,23434,21702
8,Utah,165996,28094,31566,31759,30393,29357
9,Oregon,60873,8243,8901,8850,8509,8056
10,Florida,914333,52095,57147,58164,56818,54676
11,New York,579382,52240,61176,55703,51149,48499
12,Rhode Island,46951,6271,7267,7471,6839,6160
13,Georgia,437156,20334,22746,23689,23556,23039
14,New Hampshire,16295,4965,6276,5255,4102,3806
15,North Carolina,325158,24239,25194,24345,23086,21614
16,New Jersey,293744,41062,51840,51956,44646,41851
17,Colorado,182801,59230,68534,55878,44190,38652
18,Maryland,174733,22519,28025,26808,22568,21095
19,Nevada,127876,15926,18846,19570,18966,18402
20,Tennessee,328088,32489,36744,38665,39126,38663
21,Hawaii,17081,685,679,677,673,669
22,Indiana,275503,69693,88227,90232,76833,71615
23,Kentucky,148390,21737,23956,23874,22901,21716
24,Minnesota,249906,61044,66002,62594,58836,55048
25,Oklahoma,164340,28674,31481,28114,25393,23951
26,Pennsylvania,294294,69584,93711,94574,74655,67728
27,South Carolina,201160,11063,12026,12459,12573,12542
28,District of Columbia,19678,1423,1621,1613,1523,1451
29,Kansas,131181,23652,30308,32880,31485,29179
30,Missouri,263143,48630,55721,56258,52224,49737
31,Vermont,3310,1316,1822,1557,1227,1169
32,Virginia,210787,13406,14215,14232,13988,13785
33,Connecticut,99381,16307,18794,17672,14091,11968
34,Iowa,201572,22245,22279,23045,23690,24377
35,Louisiana,211966,16459,19490,17209,14416,13169
36,Ohio,326615,89082,116475,120867,97692,89193
37,Michigan,311041,81359,100547,100671,79320,67659
38,South Dakota,69742,10053,9975,9652,9326,8973
39,Arkansas,139855,13330,14458,14709,14562,14532
40,Delaware,30153,3229,3594,3540,3358,3199
41,Mississippi,138791,10610,11135,10780,10342,9937
42,New Mexico,74116,13304,14303,13825,12960,12127
43,North Dakota,68612,8257,8394,8440,8381,8346
44,Wyoming,26169,7190,8235,8278,7584,7005
45,Alaska,26081,5235,5524,5206,4641,4089
46,Maine,9734,1882,1890,1762,1673,1614
47,Alabama,225910,14079,15356,15949,16024,15914
48,Idaho,87978,9869,10423,10541,10453,10251
49,Montana,51818,8138,8619,8947,9130,9251
50,Puerto Rico,44431,5027,5439,5413,5090,4783
51,Virgin Islands,1469,14,14,14,14,14
52,Guam,5924,NaN,NaN,NaN,NaN,NaN
53,West Virginia,37399,8688,10493,10403,9485,8855
54,Northern Mariana Islands,103,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
