,State,467,472,479,486,493
0,Washington,5507,45,40,39,37
1,Illinois,24389,232,250,248,248
2,California,61967,681,736,764,807
3,Arizona,17344,105,115,122,127
4,Massachusetts,17639,63,67,62,57
5,Wisconsin,7567,51,50,49,48
6,Texas,50331,351,370,373,382
7,Nebraska,2245,19,19,18,17
8,Utah,2204,18,19,18,18
9,Oregon,2502,21,20,19,18
10,Florida,35307,444,469,477,491
11,New York,52423,415,469,484,518
12,Rhode Island,2678,7,7,6,5
13,Georgia,20227,307,314,319,330
14,New Hampshire,1305,19,23,24,25
15,North Carolina,12691,103,103,101,98
16,New Jersey,25616,269,278,284,301
17,Colorado,6306,48,51,49,47
18,Maryland,8788,116,126,125,124
19,Nevada,5473,36,34,32,30
20,Tennessee,12205,58,55,54,52
21,Hawaii,484,2,3,3,3
22,Indiana,13350,62,65,61,57
23,Kentucky,6525,94,101,103,105
24,Minnesota,7256,78,90,88,85
25,Oklahoma,6788,13,11,10,10
26,Pennsylvania,26249,317,326,330,334
27,South Carolina,9524,74,85,85,84
28,District of Columbia,1106,7,7,7,7
29,Kansas,4986,21,23,25,28
30,Missouri,9150,64,56,53,49
31,Vermont,248,3,3,3,3
32,Virginia,10807,160,177,180,190
33,Connecticut,8112,46,44,46,47
34,Iowa,5959,48,48,45,43
35,Louisiana,10393,33,31,31,29
36,Ohio,19284,21,21,18,15
37,Michigan,18922,662,739,850,985
38,South Dakota,1970,7,9,9,9
39,Arkansas,5747,22,23,22,21
40,Delaware,1626,10,11,10,9
41,Mississippi,7207,25,24,22,20
42,New Mexico,4073,22,23,22,20
43,North Dakota,1525,5,5,5,4
44,Wyoming,707,2,1,1,3
45,Alaska,348,2,2,2,2
46,Maine,790,10,11,11,12
47,Alabama,10913,84,86,88,91
48,Idaho,2052,9,8,8,7
49,Montana,1574,16,17,18,19
50,Puerto Rico,2323,NaN,NaN,NaN,NaN
51,Virgin Islands,27,NaN,NaN,NaN,NaN
52,Guam,136,NaN,NaN,NaN,NaN
53,West Virginia,2686,31,32,31,29
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
