,State,249,255,262,269
0,Washington,86269,4100,5292,6482
1,Illinois,290373,15017,16298,17345
2,California,809890,24545,25529,27486
3,Arizona,217237,4771,4647,5184
4,Massachusetts,130642,3255,3624,3936
5,Wisconsin,115862,18833,23664,29930
6,Texas,758756,47428,51285,60260
7,Nebraska,44063,3399,3855,4492
8,Utah,70615,9262,12052,15540
9,Oregon,32820,2186,2740,3409
10,Florida,700564,18949,19594,21309
11,New York,455626,5625,5702,5656
12,Rhode Island,24181,750,781,879
13,Georgia,314685,9690,9795,10244
14,New Hampshire,8172,257,255,260
15,North Carolina,208566,15352,20770,25179
16,New Jersey,203548,3569,3857,3948
17,Colorado,69058,5306,6564,8187
18,Maryland,123403,3434,3282,3190
19,Nevada,78728,3434,4570,5669
20,Tennessee,192995,10375,10189,10531
21,Hawaii,12116,582,461,311
22,Indiana,117450,6247,6700,7056
23,Kentucky,66491,5819,6580,7388
24,Minnesota,96734,8178,9965,12163
25,Oklahoma,84333,9174,10236,11745
26,Pennsylvania,160744,6147,6487,6834
27,South Carolina,145887,8577,9972,11097
28,District of Columbia,15250,342,340,343
29,Kansas,56874,4715,5026,5292
30,Missouri,125026,11969,13010,13980
31,Vermont,1742,15,8,7
32,Virginia,146001,6023,5819,5707
33,Connecticut,56587,1062,988,988
34,Iowa,86624,7148,7870,8633
35,Louisiana,164851,3283,3105,3161
36,Ohio,150809,6635,6691,6660
37,Michigan,134373,6594,7508,8095
38,South Dakota,21541,3332,4101,4702
39,Arkansas,81242,6745,7537,8450
40,Delaware,20260,698,690,666
41,Mississippi,96859,3997,4487,4920
42,New Mexico,28844,1441,1913,2400
43,North Dakota,20724,3386,3913,4424
44,Wyoming,5633,869,1109,1402
45,Alaska,7481,701,834,956
46,Maine,5287,229,217,199
47,Alabama,152321,27477,12654,12187
48,Idaho,40501,3494,4294,5078
49,Montana,12107,2164,2815,3466
50,Puerto Rico,46304,NaN,NaN,NaN
51,Virgin Islands,1317,NaN,NaN,NaN
52,Guam,2286,NaN,NaN,NaN
53,West Virginia,15351,1477,1588,1717
54,Northern Mariana Islands,70,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
