,State,396,402,409,416
0,Washington,333794,4935,4042,2979
1,Illinois,1174330,9889,7453,5356
2,California,3531846,33500,22140,13656
3,Arizona,807967,7081,4290,2325
4,Massachusetts,569284,8831,6267,4026
5,Wisconsin,612240,4155,3193,2314
6,Texas,2600660,27584,15555,9557
7,Nebraska,198949,2458,1960,1848
8,Utah,366735,4304,3273,2307
9,Oregon,152818,2413,2082,1689
10,Florida,1868772,35572,28260,20884
11,New York,1591672,47073,40212,32622
12,Rhode Island,123145,1667,1157,762
13,Georgia,985505,17164,14076,10711
14,New Hampshire,73413,2312,2254,2164
15,North Carolina,842637,16837,12493,8557
16,New Jersey,766405,18002,14791,11553
17,Colorado,420614,6778,5989,5249
18,Maryland,376355,4384,3091,2055
19,Nevada,290972,2109,1321,816
20,Tennessee,765137,7149,5267,4177
21,Hawaii,27361,207,135,76
22,Indiana,655541,5443,4107,3104
23,Kentucky,396997,6860,5150,3575
24,Minnesota,479036,4998,4782,4387
25,Oklahoma,419354,4623,2955,1879
26,Pennsylvania,915639,16617,13466,10559
27,South Carolina,504149,16012,13470,10896
28,District of Columbia,39648,571,423,280
29,Kansas,293215,3876,3786,3356
30,Missouri,491489,3239,2332,1568
31,Vermont,14493,756,710,656
32,Virginia,564115,12432,9078,6769
33,Connecticut,273101,3900,2593,1644
34,Iowa,359525,11469,14686,12670
35,Louisiana,424176,2707,1390,878
36,Ohio,953767,12013,9025,6486
37,Michigan,636269,6028,5099,4024
38,South Dakota,111304,996,995,923
39,Arkansas,315514,2017,1029,558
40,Delaware,84732,1592,1227,915
41,Mississippi,290632,2867,1794,1251
42,New Mexico,182789,1853,1395,973
43,North Dakota,99277,725,841,879
44,Wyoming,53795,492,491,440
45,Alaska,57393,964,986,941
46,Maine,43497,683,451,271
47,Alabama,486843,4379,2941,1912
48,Idaho,169150,1453,1242,999
49,Montana,98779,1264,1141,945
50,Puerto Rico,99084,NaN,NaN,NaN
51,Virgin Islands,2575,NaN,NaN,NaN
52,Guam,7715,NaN,NaN,NaN
53,West Virginia,129616,1638,1190,844
54,Northern Mariana Islands,143,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
