,State,375,381,388,395
0,Washington,311597,12547,12798,12609
1,Illinois,1126301,23886,19376,17585
2,California,3324264,145164,128362,115171
3,Arizona,758404,40239,35440,32946
4,Massachusetts,524025,26299,24043,22377
5,Wisconsin,592140,10988,9883,8915
6,Texas,2376344,128168,127794,126189
7,Nebraska,190713,4251,3772,3525
8,Utah,346624,10488,9337,8375
9,Oregon,142416,4872,4724,4442
10,Florida,1721377,78346,77920,76215
11,New York,1419907,90690,88250,85963
12,Rhode Island,114438,4987,4579,4487
13,Georgia,909445,48740,46743,45293
14,New Hampshire,65695,4480,4237,4220
15,North Carolina,757526,44099,43742,43744
16,New Jersey,696829,34296,32930,31266
17,Colorado,396185,9920,9098,8255
18,Maryland,354473,13879,13162,12553
19,Nevada,278308,7426,6431,5635
20,Tennessee,727861,18796,16270,14030
21,Hawaii,26072,797,791,795
22,Indiana,626682,16418,14269,12602
23,Kentucky,362881,18604,18293,18039
24,Minnesota,461807,6894,6064,5401
25,Oklahoma,389472,17129,16080,15323
26,Pennsylvania,846046,34443,32502,29216
27,South Carolina,443386,28641,28292,28343
28,District of Columbia,36872,1531,1531,1458
29,Kansas,276956,8408,7535,6985
30,Missouri,473977,10684,9809,8936
31,Vermont,11965,1038,1093,1159
32,Virginia,504779,36619,37984,39699
33,Connecticut,250023,12144,11162,10821
34,Iowa,319408,6632,6119,5683
35,Louisiana,400626,15719,15097,14703
36,Ohio,895792,33546,30878,28504
37,Michigan,610138,13104,12043,10937
38,South Dakota,108250,1048,814,670
39,Arkansas,295268,11627,10885,10003
40,Delaware,78071,3980,3745,3628
41,Mississippi,275001,11328,10976,10329
42,New Mexico,174064,4581,4164,3676
43,North Dakota,97629,758,666,577
44,Wyoming,51912,1082,935,868
45,Alaska,54351,1181,1086,1034
46,Maine,39324,3388,3459,3657
47,Alabama,459639,16663,14796,13703
48,Idaho,162683,3392,3059,2773
49,Montana,93949,2298,2309,2190
50,Puerto Rico,93624,NaN,NaN,NaN
51,Virgin Islands,2398,NaN,NaN,NaN
52,Guam,7579,NaN,NaN,NaN
53,West Virginia,121001,5938,5612,5272
54,Northern Mariana Islands,132,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
