,State,207,213,220,227
0,Washington,67461,4127,3614,2984
1,Illinois,207412,13602,15077,16371
2,California,623873,60023,66468,67209
3,Arizona,193537,4621,3156,2097
4,Massachusetts,116179,2699,2766,2840
5,Wisconsin,65741,5152,4726,4087
6,Texas,555394,46993,38257,30255
7,Nebraska,30372,1853,2110,2110
8,Utah,46652,2267,1903,1499
9,Oregon,23262,1927,1782,1520
10,Florida,573416,34008,26888,18421
11,New York,425508,4623,4809,4873
12,Rhode Island,20335,521,559,522
13,Georgia,237030,19831,17986,14805
14,New Hampshire,6988,159,173,168
15,North Carolina,148906,7847,6293,4912
16,New Jersey,187455,2653,3353,3509
17,Colorado,53157,2285,1850,1464
18,Maryland,100212,4565,4382,3919
19,Nevada,61305,4583,3686,2698
20,Tennessee,133708,10433,7876,5921
21,Hawaii,5042,2089,2953,4017
22,Indiana,80415,6936,7543,7941
23,Kentucky,38930,4121,5209,5448
24,Minnesota,65152,4523,4150,3911
25,Oklahoma,48342,4567,4141,3393
26,Pennsylvania,129070,5316,5515,5182
27,South Carolina,106497,5202,3899,2675
28,District of Columbia,13220,493,507,514
29,Kansas,33885,3219,4239,4388
30,Missouri,68196,8324,8505,7859
31,Vermont,1515,68,100,140
32,Virginia,106687,7236,6931,6666
33,Connecticut,50897,352,339,252
34,Iowa,52447,3589,4028,4036
35,Louisiana,137918,6118,3895,2539
36,Ohio,108287,6823,6537,5537
37,Michigan,102259,5650,6482,6582
38,South Dakota,10274,790,808,913
39,Arkansas,52665,3181,1873,1397
40,Delaware,16451,946,1370,1664
41,Mississippi,72136,4439,3694,2681
42,New Mexico,23408,909,736,528
43,North Dakota,8587,1069,1118,1145
44,Wyoming,3286,230,190,157
45,Alaska,4259,496,424,334
46,Maine,4168,120,128,131
47,Alabama,108433,6525,4807,3499
48,Idaho,27656,2814,2558,1990
49,Montana,5750,788,739,614
50,Puerto Rico,26006,NaN,NaN,NaN
51,Virgin Islands,741,NaN,NaN,NaN
52,Guam,502,NaN,NaN,NaN
53,West Virginia,8567,880,885,797
54,Northern Mariana Islands,50,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
