,State,256,262,269,276
0,Washington,89874,4844,5999,7632
1,Illinois,304235,15644,16750,17930
2,California,832713,22623,23088,24028
3,Arizona,220754,3611,4001,4372
4,Massachusetts,134947,4420,5104,5586
5,Wisconsin,132663,21598,26077,31186
6,Texas,790194,38075,39660,41328
7,Nebraska,47807,4466,5554,6790
8,Utah,77618,8703,10203,12491
9,Oregon,34770,2448,2885,3577
10,Florida,716459,16483,17350,18628
11,New York,464582,7916,9035,9401
12,Rhode Island,25076,867,857,1032
13,Georgia,322925,7845,7717,7648
14,New Hampshire,8645,513,723,879
15,North Carolina,217496,10630,12266,13838
16,New Jersey,208202,4651,5062,5255
17,Colorado,73054,5176,6230,7702
18,Maryland,127290,3907,4290,4558
19,Nevada,82100,4301,5274,6471
20,Tennessee,201210,8774,8305,8237
21,Hawaii,12804,677,619,525
22,Indiana,125146,8421,10061,11615
23,Kentucky,72617,7145,8750,10408
24,Minnesota,103826,8719,10223,12076
25,Oklahoma,90748,8323,9018,9725
26,Pennsylvania,168126,6553,6683,7125
27,South Carolina,151582,7216,7242,7653
28,District of Columbia,15519,107,47,31
29,Kansas,60980,4522,4589,4727
30,Missouri,134079,10638,11412,12338
31,Vermont,1785,13,7,7
32,Virginia,151870,5476,5524,5587
33,Connecticut,58297,1716,2080,2308
34,Iowa,92744,7381,7908,8470
35,Louisiana,168294,3107,2993,2995
36,Ohio,158907,8635,10091,11616
37,Michigan,141271,8200,9520,10840
38,South Dakota,24418,3700,4120,4566
39,Arkansas,87013,6550,6968,7510
40,Delaware,21243,1514,2113,2569
41,Mississippi,100488,4001,4361,4644
42,New Mexico,30477,2060,2651,3314
43,North Dakota,23550,3248,3310,3352
44,Wyoming,6504,1134,1312,1480
45,Alaska,9413,1044,1345,1738
46,Maine,5519,241,242,236
47,Alabama,159169,7524,6903,6099
48,Idaho,43964,4474,5463,6606
49,Montana,14635,3056,3866,4766
50,Puerto Rico,50675,NaN,NaN,NaN
51,Virgin Islands,1327,NaN,NaN,NaN
52,Guam,2617,NaN,NaN,NaN
53,West Virginia,16635,1351,1460,1591
54,Northern Mariana Islands,73,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
