,State,831,836
0,Washington,NaN,14784
1,Illinois,NaN,24646
2,California,NaN,48783
3,Arizona,NaN,2343
4,Massachusetts,NaN,17316
5,Wisconsin,NaN,9688
6,Texas,NaN,19089
7,Nebraska,NaN,1013
8,Utah,NaN,1660
9,Oregon,NaN,7197
10,Florida,NaN,11733
11,New York,NaN,46746
12,Rhode Island,NaN,3237
13,Georgia,NaN,5474
14,New Hampshire,NaN,2556
15,North Carolina,NaN,11588
16,New Jersey,NaN,17852
17,Colorado,NaN,7168
18,Maryland,NaN,6991
19,Nevada,NaN,1674
20,Tennessee,NaN,1766
21,Hawaii,NaN,2893
22,Indiana,NaN,5886
23,Kentucky,NaN,3176
24,Minnesota,NaN,9080
25,Oklahoma,NaN,1502
26,Pennsylvania,NaN,13235
27,South Carolina,NaN,1748
28,District of Columbia,NaN,979
29,Kansas,NaN,2310
30,Missouri,NaN,1679
31,Vermont,NaN,1974
32,Virginia,NaN,10190
33,Connecticut,NaN,6471
34,Iowa,NaN,1830
35,Louisiana,NaN,1863
36,Ohio,NaN,9571
37,Michigan,NaN,15106
38,South Dakota,NaN,261
39,Arkansas,NaN,982
40,Delaware,NaN,1223
41,Mississippi,NaN,742
42,New Mexico,NaN,1311
43,North Dakota,NaN,396
44,Wyoming,NaN,155
45,Alaska,NaN,1458
46,Maine,NaN,2456
47,Alabama,NaN,1673
48,Idaho,NaN,492
49,Montana,NaN,521
50,Puerto Rico,NaN,26315
51,Virgin Islands,NaN,288
52,Guam,NaN,195
53,West Virginia,NaN,1518
54,Northern Mariana Islands,NaN,24
55,American Samoa,NaN,81
