,State,726,731
0,Washington,NaN,129492
1,Illinois,NaN,198892
2,California,NaN,889612
3,Arizona,NaN,122481
4,Massachusetts,NaN,159453
5,Wisconsin,NaN,133830
6,Texas,NaN,506226
7,Nebraska,NaN,30229
8,Utah,NaN,83486
9,Oregon,NaN,65159
10,Florida,NaN,356823
11,New York,NaN,403723
12,Rhode Island,NaN,37855
13,Georgia,NaN,175881
14,New Hampshire,NaN,22608
15,North Carolina,NaN,238121
16,New Jersey,NaN,143408
17,Colorado,NaN,126427
18,Maryland,NaN,66023
19,Nevada,NaN,49201
20,Tennessee,NaN,86696
21,Hawaii,NaN,30206
22,Indiana,NaN,104563
23,Kentucky,NaN,59329
24,Minnesota,NaN,92238
25,Oklahoma,NaN,84097
26,Pennsylvania,NaN,186935
27,South Carolina,NaN,118712
28,District of Columbia,NaN,10682
29,Kansas,NaN,56296
30,Missouri,NaN,87873
31,Vermont,NaN,12849
32,Virginia,NaN,140919
33,Connecticut,NaN,64030
34,Iowa,NaN,43599
35,Louisiana,NaN,88378
36,Ohio,NaN,177747
37,Michigan,NaN,129385
38,South Dakota,NaN,17377
39,Arkansas,NaN,77889
40,Delaware,NaN,25660
41,Mississippi,NaN,52513
42,New Mexico,NaN,31060
43,North Dakota,NaN,17400
44,Wyoming,NaN,8714
45,Alaska,NaN,18971
46,Maine,NaN,7954
47,Alabama,NaN,45472
48,Idaho,NaN,16721
49,Montana,NaN,12868
50,Puerto Rico,NaN,61892
51,Virgin Islands,NaN,1159
52,Guam,NaN,4135
53,West Virginia,NaN,27086
54,Northern Mariana Islands,NaN,222
55,American Samoa,NaN,0
