,State,593,598,605
0,Washington,NaN,24490,23643
1,Illinois,NaN,30258,30304
2,California,NaN,93177,88004
3,Arizona,NaN,21518,21481
4,Massachusetts,NaN,12052,12155
5,Wisconsin,NaN,13913,14330
6,Texas,NaN,131161,126460
7,Nebraska,NaN,4957,5036
8,Utah,NaN,9412,9355
9,Oregon,NaN,15449,14831
10,Florida,NaN,119493,98253
11,New York,NaN,34961,35074
12,Rhode Island,NaN,2040,1987
13,Georgia,NaN,62896,60803
14,New Hampshire,NaN,2331,2507
15,North Carolina,NaN,48840,46664
16,New Jersey,NaN,14527,14877
17,Colorado,NaN,12862,13448
18,Maryland,NaN,8379,8397
19,Nevada,NaN,7637,7251
20,Tennessee,NaN,49762,47623
21,Hawaii,NaN,6212,5940
22,Indiana,NaN,31953,33429
23,Kentucky,NaN,30151,28456
24,Minnesota,NaN,11320,11100
25,Oklahoma,NaN,18795,18351
26,Pennsylvania,NaN,25791,26678
27,South Carolina,NaN,39386,38274
28,District of Columbia,NaN,1238,1235
29,Kansas,NaN,11477,11937
30,Missouri,NaN,14325,13027
31,Vermont,NaN,1113,1227
32,Virginia,NaN,25213,25306
33,Connecticut,NaN,4398,4405
34,Iowa,NaN,8727,8500
35,Louisiana,NaN,13296,8185
36,Ohio,NaN,44415,50551
37,Michigan,NaN,17454,17971
38,South Dakota,NaN,3568,4036
39,Arkansas,NaN,13142,11241
40,Delaware,NaN,2877,2888
41,Mississippi,NaN,16440,13556
42,New Mexico,NaN,5925,5827
43,North Dakota,NaN,3143,3755
44,Wyoming,NaN,3800,3778
45,Alaska,NaN,3937,3985
46,Maine,NaN,2984,3461
47,Alabama,NaN,30469,29297
48,Idaho,NaN,7726,8545
49,Montana,NaN,4506,4955
50,Puerto Rico,NaN,4217,3818
51,Virgin Islands,NaN,199,191
52,Guam,NaN,1058,1040
53,West Virginia,NaN,11718,13659
54,Northern Mariana Islands,NaN,9,9
55,American Samoa,NaN,0,0
