,State,600,605,612
0,Washington,NaN,21353,19661
1,Illinois,NaN,24930,22645
2,California,NaN,49128,37684
3,Arizona,NaN,17889,16860
4,Massachusetts,NaN,10827,10590
5,Wisconsin,NaN,12466,12028
6,Texas,NaN,114230,112273
7,Nebraska,NaN,5554,5732
8,Utah,NaN,10070,9917
9,Oregon,NaN,11722,10279
10,Florida,NaN,89554,72392
11,New York,NaN,32828,32455
12,Rhode Island,NaN,1997,1982
13,Georgia,NaN,45159,36861
14,New Hampshire,NaN,2398,2393
15,North Carolina,NaN,39523,36873
16,New Jersey,NaN,14552,14684
17,Colorado,NaN,12578,12497
18,Maryland,NaN,6788,6623
19,Nevada,NaN,6654,6414
20,Tennessee,NaN,51458,46971
21,Hawaii,NaN,4068,3562
22,Indiana,NaN,24845,22788
23,Kentucky,NaN,25718,23425
24,Minnesota,NaN,10530,10260
25,Oklahoma,NaN,16462,16326
26,Pennsylvania,NaN,28470,27902
27,South Carolina,NaN,30562,26620
28,District of Columbia,NaN,931,909
29,Kansas,NaN,9327,9220
30,Missouri,NaN,13895,13486
31,Vermont,NaN,1050,1049
32,Virginia,NaN,23572,23109
33,Connecticut,NaN,3465,3248
34,Iowa,NaN,8762,8603
35,Louisiana,NaN,11946,8787
36,Ohio,NaN,48296,49562
37,Michigan,NaN,17215,16943
38,South Dakota,NaN,2856,2868
39,Arkansas,NaN,10000,8534
40,Delaware,NaN,2831,2781
41,Mississippi,NaN,11332,9388
42,New Mexico,NaN,3914,3472
43,North Dakota,NaN,3081,3374
44,Wyoming,NaN,3305,3130
45,Alaska,NaN,4397,4373
46,Maine,NaN,2579,2851
47,Alabama,NaN,24606,21818
48,Idaho,NaN,8033,8280
49,Montana,NaN,4422,4590
50,Puerto Rico,NaN,2741,2152
51,Virgin Islands,NaN,214,215
52,Guam,NaN,1227,1223
53,West Virginia,NaN,12319,12881
54,Northern Mariana Islands,NaN,2,2
55,American Samoa,NaN,0,0
