,State,621,626
0,Washington,NaN,19403
1,Illinois,NaN,16567
2,California,NaN,40492
3,Arizona,NaN,17059
4,Massachusetts,NaN,10268
5,Wisconsin,NaN,20025
6,Texas,NaN,57513
7,Nebraska,NaN,4587
8,Utah,NaN,8928
9,Oregon,NaN,9718
10,Florida,NaN,31505
11,New York,NaN,32865
12,Rhode Island,NaN,2025
13,Georgia,NaN,19540
14,New Hampshire,NaN,3310
15,North Carolina,NaN,27072
16,New Jersey,NaN,11624
17,Colorado,NaN,12092
18,Maryland,NaN,8295
19,Nevada,NaN,5248
20,Tennessee,NaN,19009
21,Hawaii,NaN,1587
22,Indiana,NaN,15626
23,Kentucky,NaN,19130
24,Minnesota,NaN,17608
25,Oklahoma,NaN,9998
26,Pennsylvania,NaN,31202
27,South Carolina,NaN,14848
28,District of Columbia,NaN,1081
29,Kansas,NaN,6239
30,Missouri,NaN,10110
31,Vermont,NaN,1286
32,Virginia,NaN,17886
33,Connecticut,NaN,3102
34,Iowa,NaN,10340
35,Louisiana,NaN,5885
36,Ohio,NaN,36795
37,Michigan,NaN,26478
38,South Dakota,NaN,2567
39,Arkansas,NaN,4812
40,Delaware,NaN,3004
41,Mississippi,NaN,5257
42,New Mexico,NaN,4900
43,North Dakota,NaN,4416
44,Wyoming,NaN,3045
45,Alaska,NaN,8439
46,Maine,NaN,4309
47,Alabama,NaN,11055
48,Idaho,NaN,9027
49,Montana,NaN,5918
50,Puerto Rico,NaN,781
51,Virgin Islands,NaN,177
52,Guam,NaN,905
53,West Virginia,NaN,9552
54,Northern Mariana Islands,NaN,5
55,American Samoa,NaN,0
